name,slug,value,date_of_information,ranking,region
"Cook Islands","cook-islands","12.97","2019 est.","1","Australia and Oceania"
"Latvia","latvia","12.90","2019 est.","2","Europe"
"Czechia","czechia","12.73","2019 est.","3","Europe"
"Lithuania","lithuania","11.93","2019 est.","4","Europe"
"Austria","austria","11.90","2019 est.","5","Europe"
"Antigua and Barbuda","antigua-and-barbuda","11.88","2019 est.","6","Central America and the Caribbean"
"Estonia","estonia","11.65","2019 est.","7","Europe"
"France","france","11.44","2019 est.","8","Europe"
"Bulgaria","bulgaria","11.18","2019 est.","9","Europe"
"Slovenia","slovenia","11.05","2019 est.","10","Europe"
"Luxembourg","luxembourg","11.00","2019 est.","11","Europe"
"Andorra","andorra","10.99","2019 est.","12","Europe"
"Poland","poland","10.96","2019 est.","13","Europe"
"Romania","romania","10.96","2019 est.","14","Europe"
"Ireland","ireland","10.91","2019 est.","15","Europe"
"Hungary","hungary","10.79","2019 est.","16","Europe"
"Spain","spain","10.72","2019 est.","17","Europe"
"Belarus","belarus","10.57","2019 est.","18","Europe"
"Germany","germany","10.56","2019 est.","19","Europe"
"Portugal","portugal","10.37","2019 est.","20","Europe"
"Slovakia","slovakia","10.30","2019 est.","21","Europe"
"Barbados","barbados","9.94","2019 est.","22","Central America and the Caribbean"
"Montenegro","montenegro","9.91","2019 est.","23","Europe"
"United Kingdom","united-kingdom","9.80","2019 est.","24","Europe"
"Croatia","croatia","9.64","2019 est.","25","Europe"
"Cyprus","cyprus","9.59","2019 est.","26","Europe"
"Australia","australia","9.51","2019 est.","27","Australia and Oceania"
"Bahamas, The","bahamas-the","9.48","2019 est.","28","Central America and the Caribbean"
"Seychelles","seychelles","9.48","2019 est.","29","Africa"
"Switzerland","switzerland","9.41","2019 est.","30","Europe"
"Saint Lucia","saint-lucia","9.30","2019 est.","31","Central America and the Caribbean"
"New Zealand","new-zealand","9.17","2019 est.","32","Australia and Oceania"
"Denmark","denmark","9.16","2019 est.","33","Europe"
"Belgium","belgium","9.15","2019 est.","34","Europe"
"United States","united-states","8.93","2019 est.","35","North America"
"Saint Kitts and Nevis","saint-kitts-and-nevis","8.84","2019 est.","36","Central America and the Caribbean"
"Grenada","grenada","8.62","2019 est.","37","Central America and the Caribbean"
"Niue","niue","8.50","2019 est.","38","Australia and Oceania"
"Japan","japan","8.36","2019 est.","39","East and Southeast Asia"
"Finland","finland","8.23","2019 est.","40","Europe"
"Netherlands","netherlands","8.23","2019 est.","41","Europe"
"Laos","laos","8.15","2019 est.","42","East and Southeast Asia"
"Malta","malta","8.07","2019 est.","43","Europe"
"Canada","canada","8.00","2019 est.","44","North America"
"Argentina","argentina","7.95","2019 est.","45","South America"
"Tanzania","tanzania","7.81","2019 est.","46","Africa"
"Chile","chile","7.80","2019 est.","47","South America"
"Korea, South","korea-south","7.74","2019 est.","48","East and Southeast Asia"
"Iceland","iceland","7.72","2019 est.","49","Europe"
"Eswatini","eswatini","7.68","2019 est.","50","Africa"
"Italy","italy","7.65","2019 est.","51","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","7.48","2019 est.","52","Central America and the Caribbean"
"Georgia","georgia","7.45","2019 est.","53","Middle East"
"Moldova","moldova","7.45","2019 est.","54","Europe"
"Serbia","serbia","7.45","2019 est.","55","Europe"
"Russia","russia","7.29","2019 est.","56","Central Asia"
"Burkina Faso","burkina-faso","7.28","2019 est.","57","Africa"
"South Africa","south-africa","7.21","2019 est.","58","Africa"
"Sweden","sweden","7.10","2019 est.","59","Europe"
"Thailand","thailand","6.86","2019 est.","60","East and Southeast Asia"
"Uganda","uganda","6.82","2019 est.","61","Africa"
"Suriname","suriname","6.60","2019 est.","62","South America"
"Panama","panama","6.54","2019 est.","63","Central America and the Caribbean"
"Gabon","gabon","6.47","2019 est.","64","Africa"
"Rwanda","rwanda","6.35","2019 est.","65","Africa"
"Greece","greece","6.33","2019 est.","66","Europe"
"Dominica","dominica","6.32","2019 est.","67","Central America and the Caribbean"
"Brazil","brazil","6.12","2019 est.","68","South America"
"Equatorial Guinea","equatorial-guinea","6.11","2019 est.","69","Africa"
"Norway","norway","6.05","2019 est.","70","Europe"
"Botswana","botswana","5.98","2019 est.","71","Africa"
"Belize","belize","5.93","2019 est.","72","Central America and the Caribbean"
"Angola","angola","5.84","2019 est.","73","Africa"
"Trinidad and Tobago","trinidad-and-tobago","5.81","2019 est.","74","Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","5.74","2019 est.","75","Africa"
"Peru","peru","5.74","2019 est.","76","South America"
"Ukraine","ukraine","5.69","2019 est.","77","Europe"
"Dominican Republic","dominican-republic","5.56","2019 est.","78","Central America and the Caribbean"
"Paraguay","paraguay","5.47","2019 est.","79","South America"
"Bosnia and Herzegovina","bosnia-and-herzegovina","5.46","2019 est.","80","Europe"
"Mongolia","mongolia","5.46","2019 est.","81","East and Southeast Asia"
"Uruguay","uruguay","5.42","2019 est.","82","South America"
"Guyana","guyana","5.11","2019 est.","83","South America"
"Philippines","philippines","4.85","2019 est.","84","East and Southeast Asia"
"Cabo Verde","cabo-verde","4.70","2019 est.","85","Africa"
"Cuba","cuba","4.70","2019 est.","86","Central America and the Caribbean"
"Cambodia","cambodia","4.56","2019 est.","87","East and Southeast Asia"
"Nigeria","nigeria","4.49","2019 est.","88","Africa"
"China","china","4.48","2019 est.","89","East and Southeast Asia"
"Albania","albania","4.40","2019 est.","90","Europe"
"Mexico","mexico","4.25","2019 est.","91","North America"
"Sao Tome and Principe","sao-tome-and-principe","4.23","2019 est.","92","Africa"
"Cameroon","cameroon","4.09","2019 est.","93","Africa"
"Colombia","colombia","4.09","2019 est.","94","South America"
"Burundi","burundi","4.07","2019 est.","95","Africa"
"Kyrgyzstan","kyrgyzstan","4.02","2019 est.","96","Central Asia"
"North Macedonia","north-macedonia","3.90","2019 est.","97","Europe"
"Zambia","zambia","3.82","2019 est.","98","Africa"
"Armenia","armenia","3.77","2019 est.","99","Middle East"
"Kazakhstan","kazakhstan","3.73","2019 est.","100","Central Asia"
"Nicaragua","nicaragua","3.69","2019 est.","101","Central America and the Caribbean"
"Korea, North","korea-north","3.61","2019 est.","102","East and Southeast Asia"
"Lesotho","lesotho","3.56","2019 est.","103","Africa"
"Jamaica","jamaica","3.46","2019 est.","104","Central America and the Caribbean"
"Vietnam","vietnam","3.41","2019 est.","105","East and Southeast Asia"
"Mauritius","mauritius","3.39","2019 est.","106","Africa"
"Sierra Leone","sierra-leone","3.22","2019 est.","107","Africa"
"Guinea-Bissau","guinea-bissau","3.21","2019 est.","108","Africa"
"Liberia","liberia","3.12","2019 est.","109","Africa"
"Zimbabwe","zimbabwe","3.11","2019 est.","110","Africa"
"India","india","3.09","2019 est.","111","South Asia"
"Costa Rica","costa-rica","3.07","2019 est.","112","Central America and the Caribbean"
"Israel","israel","3.07","2019 est.","113","Middle East"
"Ecuador","ecuador","3.05","2019 est.","114","South America"
"Bolivia","bolivia","2.98","2019 est.","115","South America"
"El Salvador","el-salvador","2.94","2019 est.","116","Central America and the Caribbean"
"Turkmenistan","turkmenistan","2.88","2019 est.","117","Central Asia"
"Haiti","haiti","2.85","2019 est.","118","Central America and the Caribbean"
"Honduras","honduras","2.73","2019 est.","119","Central America and the Caribbean"
"Fiji","fiji","2.71","2019 est.","120","Australia and Oceania"
"Gambia, The","gambia-the","2.67","2019 est.","121","Africa"
"Sri Lanka","sri-lanka","2.58","2019 est.","122","South Asia"
"Venezuela","venezuela","2.51","2019 est.","123","South America"
"Uzbekistan","uzbekistan","2.45","2019 est.","124","Central Asia"
"Nauru","nauru","2.44","2019 est.","125","Australia and Oceania"
"Namibia","namibia","2.38","2019 est.","126","Africa"
"Samoa","samoa","2.18","2019 est.","127","Australia and Oceania"
"Burma","burma","2.06","2019 est.","128","East and Southeast Asia"
"Malawi","malawi","2.04","2019 est.","129","Africa"
"United Arab Emirates","united-arab-emirates","2.03","2019 est.","130","Middle East"
"Sudan","sudan","1.93","2019 est.","131","Africa"
"Singapore","singapore","1.81","2019 est.","132","East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","1.70","2019 est.","133","Africa"
"Kenya","kenya","1.68","2019 est.","134","Africa"
"Guatemala","guatemala","1.63","2019 est.","135","Central America and the Caribbean"
"Vanuatu","vanuatu","1.60","2019 est.","136","Australia and Oceania"
"Ghana","ghana","1.59","2019 est.","137","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","1.59","2019 est.","138","Australia and Oceania"
"Tunisia","tunisia","1.51","2019 est.","139","Africa"
"Mozambique","mozambique","1.46","2019 est.","140","Africa"
"Togo","togo","1.40","2019 est.","141","Africa"
"Azerbaijan","azerbaijan","1.38","2019 est.","142","Middle East"
"Maldives","maldives","1.38","2019 est.","143","South Asia"
"Papua New Guinea","papua-new-guinea","1.26","2019 est.","144","East and Southeast Asia"
"Benin","benin","1.25","2019 est.","145","Africa"
"Solomon Islands","solomon-islands","1.19","2019 est.","146","Australia and Oceania"
"Bahrain","bahrain","1.18","2019 est.","147","Middle East"
"Turkey (Turkiye)","turkey-turkiye","1.18","2019 est.","148","Middle East"
"Ethiopia","ethiopia","1.16","2019 est.","149","Africa"
"Lebanon","lebanon","1.14","2019 est.","150","Middle East"
"Qatar","qatar","0.96","2019 est.","151","Middle East"
"Central African Republic","central-african-republic","0.94","2019 est.","152","Africa"
"Eritrea","eritrea","0.93","2019 est.","153","Africa"
"Tuvalu","tuvalu","0.93","2019 est.","154","Australia and Oceania"
"Madagascar","madagascar","0.89","2019 est.","155","Africa"
"Tajikistan","tajikistan","0.85","2019 est.","156","Central Asia"
"Brunei","brunei","0.69","2019 est.","157","East and Southeast Asia"
"Malaysia","malaysia","0.64","2019 est.","158","East and Southeast Asia"
"Mali","mali","0.60","2019 est.","159","Africa"
"Algeria","algeria","0.59","2019 est.","160","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0.56","2019 est.","161","Africa"
"Chad","chad","0.55","2019 est.","162","Africa"
"Morocco","morocco","0.51","2019 est.","163","Africa"
"Oman","oman","0.47","2019 est.","164","Middle East"
"Kiribati","kiribati","0.43","2019 est.","165","Australia and Oceania"
"Timor-Leste","timor-leste","0.41","2019 est.","166","East and Southeast Asia"
"Nepal","nepal","0.36","2019 est.","167","South Asia"
"Guinea","guinea","0.33","2019 est.","168","Africa"
"Tonga","tonga","0.31","2019 est.","169","Australia and Oceania"
"Jordan","jordan","0.25","2019 est.","170","Middle East"
"Senegal","senegal","0.25","2019 est.","171","Africa"
"Djibouti","djibouti","0.21","2019 est.","172","Africa"
"Comoros","comoros","0.18","2019 est.","173","Africa"
"Iraq","iraq","0.16","2019 est.","174","Middle East"
"Egypt","egypt","0.14","2019 est.","175","Africa"
"Syria","syria","0.13","2019 est.","176","Middle East"
"Niger","niger","0.11","2019 est.","177","Africa"
"Indonesia","indonesia","0.08","2019 est.","178","East and Southeast Asia"
"Bhutan","bhutan","0.07","2019 est.","179","South Asia"
"Pakistan","pakistan","0.04","2019 est.","180","South Asia"
"Iran","iran","0.02","2019 est.","181","Middle East"
"Yemen","yemen","0.02","2019 est.","182","Middle East"
"Afghanistan","afghanistan","0.01","2019 est.","183","South Asia"
"Libya","libya","0.01","2019 est.","184","Africa"
"Bangladesh","bangladesh","0.00","2019 est.","185","South Asia"
"Kuwait","kuwait","0.00","2019 est.","186","Middle East"
"Mauritania","mauritania","0.00","2019 est.","187","Africa"
"Saudi Arabia","saudi-arabia","0.00","2019 est.","188","Middle East"
"Somalia","somalia","0.00","2019 est.","189","Africa"
