name,slug,value,date_of_information,ranking,region
"China","china","$317,301,000,000","2021 est.","1","East and Southeast Asia"
"Germany","germany","$313,754,000,000","2021 est.","2","Europe"
"Japan","japan","$157,743,000,000","2021 est.","3","East and Southeast Asia"
"Russia","russia","$122,270,000,000","2021 est.","4","Central Asia"
"Korea, South","korea-south","$88,302,000,000","2021 est.","5","East and Southeast Asia"
"Netherlands","netherlands","$73,138,000,000","2021 est.","6","Europe"
"Ireland","ireland","$72,220,000,000","2021 est.","7","Europe"
"Singapore","singapore","$71,926,000,000","2021 est.","8","East and Southeast Asia"
"Norway","norway","$71,551,000,000","2021 est.","9","Europe"
"Taiwan","taiwan","$65,173,000,000","2019 est.","10","East and Southeast Asia"
"Italy","italy","$64,719,000,000","2021 est.","11","Europe"
"Switzerland","switzerland","$59,159,000,000","2021 est.","12","Europe"
"Australia","australia","$56,261,000,000","2021 est.","13","Australia and Oceania"
"Saudi Arabia","saudi-arabia","$44,324,000,000","2021 est.","14","Middle East"
"Hong Kong","hong-kong","$41,712,000,000","2021 est.","15","East and Southeast Asia"
"Kuwait","kuwait","$34,943,000,000","2021 est.","16","Middle East"
"Sweden","sweden","$34,075,000,000","2021 est.","17","Europe"
"Denmark","denmark","$32,465,000,000","2021 est.","18","Europe"
"United Arab Emirates","united-arab-emirates","$26,470,000,000","2017 est.","19","Middle East"
"Qatar","qatar","$26,319,000,000","2021 est.","20","Middle East"
"Iraq","iraq","$24,563,000,000","2021 est.","21","Middle East"
"Israel","israel","$21,090,000,000","2021 est.","22","Middle East"
"South Africa","south-africa","$15,569,000,000","2021 est.","23","Africa"
"Malaysia","malaysia","$14,143,000,000","2021 est.","24","East and Southeast Asia"
"Spain","spain","$13,445,000,000","2021 est.","25","Europe"
"France","france","$9,947,000,000","2021 est.","26","Europe"
"Iran","iran","$9,491,000,000","2017 est.","27","Middle East"
"Angola","angola","$8,399,000,000","2021 est.","28","Africa"
"Azerbaijan","azerbaijan","$8,292,000,000","2021 est.","29","Middle East"
"Argentina","argentina","$6,708,000,000","2021 est.","30","South America"
"Papua New Guinea","papua-new-guinea","$5,451,000,000","2018 est.","31","East and Southeast Asia"
"Guinea","guinea","$4,639,000,000","2021 est.","32","Africa"
"Luxembourg","luxembourg","$4,141,000,000","2021 est.","33","Europe"
"Indonesia","indonesia","$3,459,000,000","2021 est.","34","East and Southeast Asia"
"Macau","macau","$2,956,000,000","2021 est.","35","East and Southeast Asia"
"Ecuador","ecuador","$2,952,000,000","2021 est.","36","South America"
"Belgium","belgium","$2,917,000,000","2021 est.","37","Europe"
"Trinidad and Tobago","trinidad-and-tobago","$2,900,000,000","2021 est.","38","Central America and the Caribbean"
"Zambia","zambia","$2,531,000,000","2021 est.","39","Africa"
"Slovenia","slovenia","$2,372,000,000","2021 est.","40","Europe"
"Belarus","belarus","$2,153,000,000","2021 est.","41","Europe"
"Guatemala","guatemala","$2,113,000,000","2021 est.","42","Central America and the Caribbean"
"Croatia","croatia","$2,082,000,000","2021 est.","43","Europe"
"Finland","finland","$1,896,000,000","2021 est.","44","Europe"
"Austria","austria","$1,627,000,000","2021 est.","45","Europe"
"Brunei","brunei","$1,570,000,000","2021 est.","46","East and Southeast Asia"
"Congo, Republic of the","congo-republic-of-the","$1,441,000,000","2020 est.","47","Africa"
