name,slug,value,date_of_information,ranking,region
"China","china","181,908,000","2020 est.","1","East and Southeast Asia"
"United States","united-states","101,526,000","2020 est.","2","North America"
"Japan","japan","61,978,594","2020 est.","3","East and Southeast Asia"
"Germany","germany","38,300,000","2020 est.","4","Europe"
"France","france","37,759,000","2020 est.","5","Europe"
"United Kingdom","united-kingdom","32,037,000","2020 est.","6","Europe"
"Brazil","brazil","30,653,813","2020 est.","7","South America"
"Iran","iran","29,093,587","2020 est.","8","Middle East"
"Russia","russia","25,892,405","2020 est.","9","Central Asia"
"Mexico","mexico","24,500,456","2020 est.","10","North America"
"Korea, South","korea-south","23,858,239","2020 est.","11","East and Southeast Asia"
"India","india","20,052,162","2020 est.","12","South Asia"
"Italy","italy","19,607,341","2020 est.","13","Europe"
"Spain","spain","19,455,658","2020 est.","14","Europe"
"Canada","canada","13,340,000","2020 est.","15","North America"
"Taiwan","taiwan","12,971,900","2019 est.","16","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","12,448,604","2020 est.","17","Middle East"
"Egypt","egypt","9,858,331","2020 est.","18","Africa"
"Indonesia","indonesia","9,662,135","2020 est.","19","East and Southeast Asia"
"Malaysia","malaysia","7,467,900","2020 est.","20","East and Southeast Asia"
"Colombia","colombia","7,248,026","2020 est.","21","South America"
"Argentina","argentina","6,903,068","2021 est.","22","South America"
"Saudi Arabia","saudi-arabia","5,749,058","2020 est.","23","Middle East"
"Poland","poland","5,308,497","2021 est.","24","Europe"
"Venezuela","venezuela","5,251,182","2020 est.","25","South America"
"Portugal","portugal","5,212,507","2020 est.","26","Europe"
"Algeria","algeria","5,097,095","2021 est.","27","Africa"
"Greece","greece","5,028,332","2020 est.","28","Europe"
"Thailand","thailand","5,003,000","2020 est.","29","East and Southeast Asia"
"Netherlands","netherlands","4,937,000","2020 est.","30","Europe"
"Philippines","philippines","4,731,196","2020 est.","31","East and Southeast Asia"
"Australia","australia","4,600,000","2021 est.","32","Australia and Oceania"
