name,slug,value,date_of_information,ranking,region
"China","china","$3,428,000,000,000.000","31 December 2021 est.","1","East and Southeast Asia"
"Japan","japan","$1,406,000,000,000.000","31 December 2021 est.","2","East and Southeast Asia"
"Switzerland","switzerland","$1,110,000,000,000.000","31 December 2021 est.","3","Europe"
"United States","united-states","$716,152,000,000.000","31 December 2021 est.","4","North America"
"India","india","$638,485,000,000.000","31 December 2021 est.","5","South Asia"
"Russia","russia","$632,242,000,000.000","31 December 2021 est.","6","Central Asia"
"Hong Kong","hong-kong","$496,867,000,000.000","31 December 2021 est.","7","East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$473,890,000,000.000","31 December 2021 est.","8","Middle East"
"Korea, South","korea-south","$463,281,000,000.000","31 December 2021 est.","9","East and Southeast Asia"
"Taiwan","taiwan","$456,700,000,000.000","31 December 2017 est.","10","East and Southeast Asia"
"Singapore","singapore","$425,098,000,000.000","31 December 2021 est.","11","East and Southeast Asia"
"Brazil","brazil","$362,210,000,000.000","31 December 2021 est.","12","South America"
"Germany","germany","$295,736,000,000.000","31 December 2021 est.","13","Europe"
"Thailand","thailand","$246,025,000,000.000","31 December 2021 est.","14","East and Southeast Asia"
"France","france","$244,280,000,000.000","31 December 2021 est.","15","Europe"
"Italy","italy","$227,478,000,000.000","31 December 2021 est.","16","Europe"
"Israel","israel","$212,934,000,000.000","31 December 2021 est.","17","Middle East"
"Mexico","mexico","$207,799,000,000.000","31 December 2021 est.","18","North America"
"United Kingdom","united-kingdom","$194,181,000,000.000","31 December 2021 est.","19","Europe"
"Czechia","czechia","$173,618,000,000.000","31 December 2021 est.","20","Europe"
"Poland","poland","$166,030,000,000.000","31 December 2021 est.","21","Europe"
"Indonesia","indonesia","$144,908,000,000.000","31 December 2021 est.","22","East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","$131,117,000,000.000","31 December 2021 est.","23","Middle East"
"Iran","iran","$120,600,000,000.000","31 December 2017 est.","24","Middle East"
"Malaysia","malaysia","$116,916,000,000.000","31 December 2021 est.","25","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","$109,535,000,000.000","31 December 2021 est.","26","Middle East"
"Vietnam","vietnam","$109,371,000,000.000","31 December 2021 est.","27","East and Southeast Asia"
"Philippines","philippines","$108,755,000,000.000","31 December 2021 est.","28","East and Southeast Asia"
"Canada","canada","$106,615,000,000.000","31 December 2021 est.","29","North America"
"Spain","spain","$92,201,000,000.000","31 December 2021 est.","30","Europe"
"Norway","norway","$84,271,000,000.000","31 December 2021 est.","31","Europe"
"Libya","libya","$82,262,000,000.000","31 December 2021 est.","32","Africa"
"Denmark","denmark","$82,236,000,000.000","31 December 2021 est.","33","Europe"
"Peru","peru","$74,779,000,000.000","31 December 2020 est.","34","South America"
"Mozambique","mozambique","$67,510,000,000.000","31 December 2021 est.","35","Africa"
"Netherlands","netherlands","$64,469,000,000.000","31 December 2021 est.","36","Europe"
"Iraq","iraq","$64,231,000,000.000","31 December 2021 est.","37","Middle East"
"Sweden","sweden","$62,053,000,000.000","31 December 2021 est.","38","Europe"
"Colombia","colombia","$58,019,000,000.000","31 December 2021 est.","39","South America"
"Australia","australia","$57,878,000,000.000","31 December 2021 est.","40","Australia and Oceania"
"South Africa","south-africa","$57,597,000,000.000","31 December 2021 est.","41","Africa"
"Algeria","algeria","$56,211,000,000.000","31 December 2021 est.","42","Africa"
"Romania","romania","$51,886,000,000.000","31 December 2021 est.","43","Europe"
"Chile","chile","$51,252,000,000.000","31 December 2021 est.","44","South America"
"Kuwait","kuwait","$49,525,000,000.000","31 December 2021 est.","45","Middle East"
"Bangladesh","bangladesh","$46,166,000,000.000","31 December 2021 est.","46","South Asia"
"Hungary","hungary","$43,483,000,000.000","31 December 2021 est.","47","Europe"
"Qatar","qatar","$42,213,000,000.000","31 December 2021 est.","48","Middle East"
"Belgium","belgium","$41,872,000,000.000","31 December 2021 est.","49","Europe"
"Egypt","egypt","$39,824,000,000.000","31 December 2021 est.","50","Africa"
"Argentina","argentina","$39,653,000,000.000","31 December 2021 est.","51","South America"
"Bulgaria","bulgaria","$39,188,000,000.000","31 December 2021 est.","52","Europe"
"Nigeria","nigeria","$36,730,000,000.000","31 December 2020 est.","53","Africa"
"Morocco","morocco","$35,648,000,000.000","31 December 2021 est.","54","Africa"
"Uzbekistan","uzbekistan","$35,375,000,000.000","31 December 2021 est.","55","Central Asia"
"Lebanon","lebanon","$35,239,000,000.000","31 December 2021 est.","56","Middle East"
"Kazakhstan","kazakhstan","$34,378,000,000.000","31 December 2021 est.","57","Central Asia"
"Austria","austria","$33,957,000,000.000","31 December 2021 est.","58","Europe"
"Portugal","portugal","$32,535,000,000.000","31 December 2021 est.","59","Europe"
"Ukraine","ukraine","$30,967,000,000.000","31 December 2021 est.","60","Europe"
"Croatia","croatia","$28,309,000,000.000","31 December 2021 est.","61","Europe"
"Macau","macau","$26,665,000,000.000","31 December 2021 est.","62","East and Southeast Asia"
"Turkmenistan","turkmenistan","$24,910,000,000.000","31 December 2017 est.","63","Central Asia"
"Pakistan","pakistan","$22,812,000,000.000","31 December 2021 est.","64","South Asia"
"Guatemala","guatemala","$20,935,000,000.000","31 December 2021 est.","65","Central America and the Caribbean"
"Cambodia","cambodia","$20,270,000,000.000","31 December 2021 est.","66","East and Southeast Asia"
"Oman","oman","$19,731,000,000.000","31 December 2021 est.","67","Middle East"
"Serbia","serbia","$18,617,000,000.000","31 December 2021 est.","68","Europe"
"Uruguay","uruguay","$16,963,000,000.000","31 December 2021 est.","69","South America"
"Finland","finland","$16,744,000,000.000","31 December 2021 est.","70","Europe"
"New Zealand","new-zealand","$16,114,000,000.000","31 December 2021 est.","71","Australia and Oceania"
"Jordan","jordan","$15,560,000,000.000","31 December 2017 est.","72","Middle East"
"Angola","angola","$14,468,000,000.000","31 December 2021 est.","73","Africa"
"Greece","greece","$14,447,000,000.000","31 December 2021 est.","74","Europe"
"Ireland","ireland","$13,247,000,000.000","31 December 2021 est.","75","Europe"
"Dominican Republic","dominican-republic","$13,125,000,000.000","31 December 2021 est.","76","Central America and the Caribbean"
"Cuba","cuba","$11,350,000,000.000","31 December 2017 est.","77","Central America and the Caribbean"
"Ghana","ghana","$9,917,000,000.000","31 December 2021 est.","78","Africa"
"Venezuela","venezuela","$9,794,000,000.000","31 December 2017 est.","79","South America"
"Afghanistan","afghanistan","$9,749,000,000.000","31 December 2020 est.","80","South Asia"
"Nepal","nepal","$9,661,000,000.000","31 December 2021 est.","81","South Asia"
"Paraguay","paraguay","$9,661,000,000.000","31 December 2021 est.","82","South America"
"Panama","panama","$9,614,000,000.000","31 December 2020 est.","83","Central America and the Caribbean"
"Slovakia","slovakia","$9,610,000,000.000","31 December 2021 est.","84","Europe"
"Kenya","kenya","$9,491,000,000.000","31 December 2021 est.","85","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$9,475,000,000.000","31 December 2021 est.","86","Europe"
"Tunisia","tunisia","$8,846,000,000.000","31 December 2021 est.","87","Africa"
"Mauritius","mauritius","$8,563,000,000.000","31 December 2021 est.","88","Africa"
"Belarus","belarus","$8,425,000,000.000","31 December 2021 est.","89","Europe"
"Azerbaijan","azerbaijan","$8,307,000,000.000","31 December 2021 est.","90","Middle East"
"Honduras","honduras","$8,138,000,000.000","31 December 2020 est.","91","Central America and the Caribbean"
"Ecuador","ecuador","$7,912,000,000.000","31 December 2021 est.","92","South America"
"Burma","burma","$7,670,000,000.000","31 December 2020 est.","93","East and Southeast Asia"
"Iceland","iceland","$7,079,000,000.000","31 December 2021 est.","94","Europe"
"Costa Rica","costa-rica","$6,921,000,000.000","31 December 2021 est.","95","Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","$6,880,000,000.000","31 December 2021 est.","96","Central America and the Caribbean"
"Cote d'Ivoire","cote-divoire","$6,257,000,000.000","31 December 2017 est.","97","Africa"
"Albania","albania","$5,635,000,000.000","31 December 2021 est.","98","Europe"
"Lithuania","lithuania","$5,580,000,000.000","31 December 2021 est.","99","Europe"
"Latvia","latvia","$5,491,000,000.000","31 December 2021 est.","100","Europe"
"Tanzania","tanzania","$5,050,000,000.000","31 December 2018 est.","101","Africa"
"Bahrain","bahrain","$4,993,000,000.000","31 December 2021 est.","102","Middle East"
"Jamaica","jamaica","$4,838,000,000.000","31 December 2021 est.","103","Central America and the Caribbean"
"Botswana","botswana","$4,802,000,000.000","31 December 2021 est.","104","Africa"
"Bolivia","bolivia","$4,730,000,000.000","31 December 2021 est.","105","South America"
"Mongolia","mongolia","$4,380,000,000.000","31 December 2021 est.","106","East and Southeast Asia"
"Georgia","georgia","$4,271,000,000.000","31 December 2021 est.","107","Middle East"
"North Macedonia","north-macedonia","$4,129,000,000.000","31 December 2021 est.","108","Europe"
"Nicaragua","nicaragua","$4,047,000,000.000","31 December 2021 est.","109","Central America and the Caribbean"
"Brunei","brunei","$3,997,000,000.000","31 December 2020 est.","110","East and Southeast Asia"
