name,slug,value,date_of_information,ranking,region
"United Arab Emirates","united-arab-emirates","-2.08","2020 est.","1","Middle East"
"Kiribati","kiribati","-1.81","2019 est.","2","Australia and Oceania"
"Andorra","andorra","-0.90","2015 est.","3","Europe"
"Chad","chad","-0.77","2021 est.","4","Africa"
"Dominica","dominica","-0.73","2020 est.","5","Central America and the Caribbean"
"Bahrain","bahrain","-0.61","2021 est.","6","Middle East"
"American Samoa","american-samoa","-0.50","2015 est.","7","Australia and Oceania"
"Liechtenstein","liechtenstein","-0.40","2016 est.","8","Europe"
"Rwanda","rwanda","-0.39","2021 est.","9","Africa"
"Faroe Islands","faroe-islands","-0.30","2016","10","Europe"
"Japan","japan","-0.23","2021 est.","11","East and Southeast Asia"
"Solomon Islands","solomon-islands","-0.12","2021 est.","12","Australia and Oceania"
"French Polynesia","french-polynesia","0.00","2015 est.","13","Australia and Oceania"
"Marshall Islands","marshall-islands","0.00","2017 est.","14","Australia and Oceania"
"Ecuador","ecuador","0.13","2021 est.","15","South America"
"Fiji","fiji","0.16","2021 est.","16","Australia and Oceania"
"Greenland","greenland","0.30","January 2017 est.","17","North America"
"Northern Mariana Islands","northern-mariana-islands","0.30","2016 est.","18","Australia and Oceania"
"Taiwan","taiwan","0.50","2019 est.","19","East and Southeast Asia"
"Maldives","maldives","0.54","2021 est.","20","South Asia"
"Micronesia, Federated States of","micronesia-federated-states-of","0.55","2020 est.","21","Australia and Oceania"
"Switzerland","switzerland","0.58","2021 est.","22","Europe"
"Bolivia","bolivia","0.74","2021 est.","23","South America"
"Macau","macau","0.81","2020 est.","24","East and Southeast Asia"
"Wallis and Futuna","wallis-and-futuna","0.90","2015","25","Australia and Oceania"
"Timor-Leste","timor-leste","0.96","2019 est.","26","East and Southeast Asia"
"China","china","0.98","2021 est.","27","East and Southeast Asia"
"Comoros","comoros","1.00","2017 est.","28","Africa"
"Guam","guam","1.00","2017 est.","29","Australia and Oceania"
"Virgin Islands","virgin-islands","1.00","2016 est.","30","Central America and the Caribbean"
"San Marino","san-marino","1.05","2017 est.","31","Europe"
"British Virgin Islands","british-virgin-islands","1.10","2017 est.","32","Central America and the Caribbean"
"Gabon","gabon","1.18","2020 est.","33","Africa"
"Montserrat","montserrat","1.20","2017 est.","34","Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.20","2021 est.","35","Central America and the Caribbean"
"Greece","greece","1.22","2021 est.","36","Europe"
"Grenada","grenada","1.22","2021 est.","37","Central America and the Caribbean"
"Thailand","thailand","1.23","2021 est.","38","East and Southeast Asia"
"Gaza Strip","gaza-strip","1.24","2021 est.","39","Middle East"
"West Bank","west-bank","1.24","2021 est.","40","Middle East"
"Portugal","portugal","1.27","2021 est.","41","Europe"
"Anguilla","anguilla","1.30","2017 est.","42","Central America and the Caribbean"
"Jordan","jordan","1.35","2021 est.","43","Middle East"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1.40","2014 est.","44","South America"
"Morocco","morocco","1.40","2021 est.","45","Africa"
"New Caledonia","new-caledonia","1.40","2017 est.","46","Australia and Oceania"
"Israel","israel","1.49","2021 est.","47","Middle East"
"Malta","malta","1.50","2021 est.","48","Europe"
"Monaco","monaco","1.50","2010","49","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","1.50","2015","50","North America"
"Somalia","somalia","1.50","2017 est.","51","Africa"
"Oman","oman","1.55","2021 est.","52","Middle East"
"Indonesia","indonesia","1.56","2021 est.","53","East and Southeast Asia"
"Hong Kong","hong-kong","1.57","2021 est.","54","East and Southeast Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","1.57","2021 est.","55","Central America and the Caribbean"
"Panama","panama","1.63","2021 est.","56","Central America and the Caribbean"
"France","france","1.64","2021 est.","57","Europe"
"Congo, Republic of the","congo-republic-of-the","1.72","2021 est.","58","Africa"
"Benin","benin","1.73","2021 est.","59","Africa"
"Brunei","brunei","1.73","2021 est.","60","East and Southeast Asia"
"Costa Rica","costa-rica","1.73","2021 est.","61","Central America and the Caribbean"
"Djibouti","djibouti","1.78","2020 est.","62","Africa"
"Puerto Rico","puerto-rico","1.80","2017 est.","63","Central America and the Caribbean"
"Togo","togo","1.83","2020 est.","64","Africa"
"Vietnam","vietnam","1.83","2021 est.","65","East and Southeast Asia"
"Denmark","denmark","1.85","2021 est.","66","Europe"
"Cabo Verde","cabo-verde","1.86","2021 est.","67","Africa"
"Italy","italy","1.87","2021 est.","68","Europe"
"Bermuda","bermuda","1.90","2017 est.","69","North America"
"Slovenia","slovenia","1.92","2021 est.","70","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1.98","2021 est.","71","Europe"
"Cayman Islands","cayman-islands","2.00","2017 est.","72","Central America and the Caribbean"
"Albania","albania","2.04","2021 est.","73","Europe"
"Antigua and Barbuda","antigua-and-barbuda","2.06","2021 est.","74","Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","2.06","2021 est.","75","Central America and the Caribbean"
"Sweden","sweden","2.16","2021 est.","76","Europe"
"Finland","finland","2.19","2021 est.","77","Europe"
"Sint Maarten","sint-maarten","2.19","2017 est.","78","Central America and the Caribbean"
"Cook Islands","cook-islands","2.20","2011 est.","79","Australia and Oceania"
"Uganda","uganda","2.20","2021 est.","80","Africa"
"Guinea-Bissau","guinea-bissau","2.24","2021 est.","81","Africa"
"Cameroon","cameroon","2.27","2021 est.","82","Africa"
"Afghanistan","afghanistan","2.30","2019 est.","83","South Asia"
"Qatar","qatar","2.30","2021 est.","84","Middle East"
"Singapore","singapore","2.30","2021 est.","85","East and Southeast Asia"
"Vanuatu","vanuatu","2.34","2021 est.","86","Australia and Oceania"
"Ireland","ireland","2.36","2021 est.","87","Europe"
"Montenegro","montenegro","2.41","2021 est.","88","Europe"
"Saint Lucia","saint-lucia","2.41","2021 est.","89","Central America and the Caribbean"
"Belgium","belgium","2.44","2021 est.","90","Europe"
"Cyprus","cyprus","2.45","2021 est.","91","Europe"
"Malaysia","malaysia","2.48","2021 est.","92","East and Southeast Asia"
"Gibraltar","gibraltar","2.50","2013 est.","93","Europe"
"Korea, South","korea-south","2.50","2021 est.","94","East and Southeast Asia"
"United Kingdom","united-kingdom","2.52","2021 est.","95","Europe"
"Luxembourg","luxembourg","2.53","2021 est.","96","Europe"
"Croatia","croatia","2.55","2021 est.","97","Europe"
"Senegal","senegal","2.55","2020 est.","98","Africa"
"Eswatini","eswatini","2.60","2019 est.","99","Africa"
"Palau","palau","2.61","2021 est.","100","Australia and Oceania"
"Curacao","curacao","2.62","2019 est.","101","Central America and the Caribbean"
"Netherlands","netherlands","2.68","2021 est.","102","Europe"
"Austria","austria","2.77","2021 est.","103","Europe"
"Australia","australia","2.86","2021 est.","104","Australia and Oceania"
"Bahamas, The","bahamas-the","2.90","2021 est.","105","Central America and the Caribbean"
"Cambodia","cambodia","2.92","2021 est.","106","East and Southeast Asia"
"Saudi Arabia","saudi-arabia","3.06","2021 est.","107","Middle East"
"Spain","spain","3.09","2021 est.","108","Europe"
"Samoa","samoa","3.13","2021 est.","109","Australia and Oceania"
"Germany","germany","3.14","2021 est.","110","Europe"
"Slovakia","slovakia","3.15","2021 est.","111","Europe"
"North Macedonia","north-macedonia","3.23","2021 est.","112","Europe"
"Belize","belize","3.24","2021 est.","113","Central America and the Caribbean"
"Latvia","latvia","3.28","2021 est.","114","Europe"
"Bulgaria","bulgaria","3.30","2021 est.","115","Europe"
"Kosovo","kosovo","3.35","2021 est.","116","Europe"
"Canada","canada","3.40","2021 est.","117","North America"
"Guernsey","guernsey","3.40","June 2006 est.","118","Europe"
"Kuwait","kuwait","3.42","2021 est.","119","Middle East"
"El Salvador","el-salvador","3.47","2021 est.","120","Central America and the Caribbean"
"Norway","norway","3.48","2021 est.","121","Europe"
"Colombia","colombia","3.50","2021 est.","122","South America"
"Mauritania","mauritania","3.57","2021 est.","123","Africa"
"Namibia","namibia","3.62","2021 est.","124","Africa"
"Burkina Faso","burkina-faso","3.65","2021 est.","125","Africa"
"Tanzania","tanzania","3.69","2021 est.","126","Africa"
"Jersey","jersey","3.70","2006","127","Europe"
"Laos","laos","3.76","2021 est.","128","East and Southeast Asia"
"Czechia","czechia","3.84","2021 est.","129","Europe"
"Niger","niger","3.84","2021 est.","130","Africa"
"Mali","mali","3.93","2021 est.","131","Africa"
"Philippines","philippines","3.93","2021 est.","132","East and Southeast Asia"
"New Zealand","new-zealand","3.94","2021 est.","133","Australia and Oceania"
"Niue","niue","4.00","2005","134","Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","4.00","2012 est.","135","Africa"
"Tokelau","tokelau","4.00","2020 est.","136","Australia and Oceania"
"Turks and Caicos Islands","turks-and-caicos-islands","4.00","2017 est.","137","Central America and the Caribbean"
"Mauritius","mauritius","4.03","2021 est.","138","Africa"
"Cote d'Ivoire","cote-divoire","4.09","2021 est.","139","Africa"
"Nepal","nepal","4.09","2021 est.","140","South Asia"
"Serbia","serbia","4.09","2021 est.","141","Europe"
"Barbados","barbados","4.10","2019 est.","142","Central America and the Caribbean"
"Isle of Man","isle-of-man","4.10","2017 est.","143","Europe"
"Tuvalu","tuvalu","4.10","2017 est.","144","Australia and Oceania"
"Aruba","aruba","4.26","2019 est.","145","Central America and the Caribbean"
"Central African Republic","central-african-republic","4.26","2021 est.","146","Africa"
"Guatemala","guatemala","4.26","2021 est.","147","Central America and the Caribbean"
"Peru","peru","4.27","2021 est.","148","South America"
"Iceland","iceland","4.44","2021 est.","149","Europe"
"Honduras","honduras","4.48","2021 est.","150","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","4.48","2021 est.","151","East and Southeast Asia"
"Chile","chile","4.52","2021 est.","152","South America"
"South Africa","south-africa","4.61","2021 est.","153","Africa"
"Estonia","estonia","4.65","2021 est.","154","Europe"
"Lithuania","lithuania","4.68","2021 est.","155","Europe"
"United States","united-states","4.70","2021 est.","156","North America"
"Equatorial Guinea","equatorial-guinea","4.77","2020 est.","157","Africa"
"Paraguay","paraguay","4.79","2021 est.","158","South America"
"Nicaragua","nicaragua","4.93","2021 est.","159","Central America and the Caribbean"
"Guyana","guyana","5.03","2021 est.","160","South America"
"Romania","romania","5.05","2021 est.","161","Europe"
"Poland","poland","5.06","2021 est.","162","Europe"
"Nauru","nauru","5.10","2017 est.","163","Australia and Oceania"
"Hungary","hungary","5.11","2021 est.","164","Europe"
"Moldova","moldova","5.11","2021 est.","165","Europe"
"India","india","5.13","2021 est.","166","South Asia"
"Egypt","egypt","5.21","2021 est.","167","Africa"
"Cuba","cuba","5.50","2017 est.","168","Central America and the Caribbean"
"Bangladesh","bangladesh","5.55","2021 est.","169","South Asia"
"Tonga","tonga","5.64","2021 est.","170","Australia and Oceania"
"Mexico","mexico","5.69","2021 est.","171","North America"
"Mozambique","mozambique","5.69","2021 est.","172","Africa"
"Tunisia","tunisia","5.71","2021 est.","173","Africa"
"Madagascar","madagascar","5.81","2021 est.","174","Africa"
"Jamaica","jamaica","5.86","2021 est.","175","Central America and the Caribbean"
"Iraq","iraq","6.04","2021 est.","176","Middle East"
"Lesotho","lesotho","6.05","2021 est.","177","Africa"
"Kenya","kenya","6.11","2021 est.","178","Africa"
"Azerbaijan","azerbaijan","6.65","2021 est.","179","Middle East"
"Russia","russia","6.69","2021 est.","180","Central Asia"
"Kazakhstan","kazakhstan","6.75","2020 est.","181","Central Asia"
"Sri Lanka","sri-lanka","7.01","2021 est.","182","South Asia"
"Armenia","armenia","7.18","2021 est.","183","Middle East"
"Algeria","algeria","7.23","2021 est.","184","Africa"
"Botswana","botswana","7.24","2021 est.","185","Africa"
"Bhutan","bhutan","7.35","2021 est.","186","South Asia"
"Mongolia","mongolia","7.35","2021 est.","187","East and Southeast Asia"
"Gambia, The","gambia-the","7.37","2021 est.","188","Africa"
"Tajikistan","tajikistan","7.70","2019 est.","189","Central Asia"
"Uruguay","uruguay","7.75","2021 est.","190","South America"
"Sao Tome and Principe","sao-tome-and-principe","7.86","2018 est.","191","Africa"
"Turkmenistan","turkmenistan","8.00","2017 est.","192","Central Asia"
"Dominican Republic","dominican-republic","8.24","2021 est.","193","Central America and the Caribbean"
"Seychelles","seychelles","8.28","2020 est.","194","Africa"
"Brazil","brazil","8.30","2021 est.","195","South America"
"Burundi","burundi","8.40","2021 est.","196","Africa"
"Malawi","malawi","8.63","2020 est.","197","Africa"
"Burma","burma","8.83","2019 est.","198","East and Southeast Asia"
"Eritrea","eritrea","9.00","2017 est.","199","Africa"
"Ukraine","ukraine","9.36","2021 est.","200","Europe"
"Belarus","belarus","9.46","2021 est.","201","Europe"
"Pakistan","pakistan","9.50","2021 est.","202","South Asia"
"Georgia","georgia","9.57","2021 est.","203","Middle East"
"Ghana","ghana","9.97","2021 est.","204","Africa"
"South Sudan","south-sudan","10.52","2021 est.","205","Africa"
"Uzbekistan","uzbekistan","10.85","2021 est.","206","Central Asia"
"Sierra Leone","sierra-leone","11.87","2021 est.","207","Africa"
"Kyrgyzstan","kyrgyzstan","11.91","2021 est.","208","Central Asia"
"Guinea","guinea","12.60","2021 est.","209","Africa"
"Haiti","haiti","16.84","2021 est.","210","Central America and the Caribbean"
"Nigeria","nigeria","16.95","2021 est.","211","Africa"
"Turkey (Turkiye)","turkey-turkiye","19.60","2021 est.","212","Middle East"
"Zambia","zambia","22.02","2021 est.","213","Africa"
"Liberia","liberia","23.56","2018 est.","214","Africa"
"Yemen","yemen","24.70","2017 est.","215","Middle East"
"Argentina","argentina","25.70","2017 est.","216","South America"
"Angola","angola","25.75","2021 est.","217","Africa"
"Ethiopia","ethiopia","26.84","2021 est.","218","Africa"
"Syria","syria","28.10","2017 est.","219","Middle East"
"Libya","libya","28.50","2017 est.","220","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","41.50","2017 est.","221","Africa"
"Iran","iran","43.39","2021 est.","222","Middle East"
"Suriname","suriname","59.11","2021 est.","223","South America"
"Zimbabwe","zimbabwe","98.55","2021 est.","224","Africa"
"Lebanon","lebanon","154.76","2021 est.","225","Middle East"
"Sudan","sudan","382.82","2021 est.","226","Africa"
"Venezuela","venezuela","146,101.70","2019 est.","227","South America"
