name,slug,value,date_of_information,ranking,region
"China","china","987,000,000","2020 est.","1","East and Southeast Asia"
"India","india","593,400,000","2020 est.","2","South Asia"
"United States","united-states","301,665,983","2020 est.","3","North America"
"Brazil","brazil","172,173,121","2020 est.","4","South America"
"Indonesia","indonesia","147,702,755","2020 est.","5","East and Southeast Asia"
"Russia","russia","122,488,468","2020 est.","6","Central Asia"
"Japan","japan","113,252,419","2020 est.","7","East and Southeast Asia"
"Mexico","mexico","92,831,582","2020 est.","8","North America"
"Iran","iran","75,594,081","2020 est.","9","Middle East"
"Germany","germany","74,844,784","2020 est.","10","Europe"
"Nigeria","nigeria","74,210,251","2020 est.","11","Africa"
"Egypt","egypt","73,680,770","2020 est.","12","Africa"
"Vietnam","vietnam","68,137,008","2020 est.","13","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","65,784,472","2020 est.","14","Middle East"
"United Kingdom","united-kingdom","63,854,528","2020 est.","15","Europe"
"France","france","57,272,921","2020 est.","16","Europe"
"Pakistan","pakistan","55,223,083","2020 est.","17","South Asia"
"Philippines","philippines","54,790,543","2020 est.","18","East and Southeast Asia"
"Thailand","thailand","54,443,983","2020 est.","19","East and Southeast Asia"
"Korea, South","korea-south","50,281,152","2020 est.","20","East and Southeast Asia"
"Spain","spain","44,047,980","2020 est.","21","Europe"
"Italy","italy","41,614,669","2020 est.","22","Europe"
"South Africa","south-africa","41,516,083","2020 est.","23","Africa"
"Bangladesh","bangladesh","41,172,346","2020 est.","24","South Asia"
"Ukraine","ukraine","40,912,381","July 2022 est.","25","Europe"
"Argentina","argentina","39,853,610","2021 est.","26","South America"
"Canada","canada","36,896,088","2020 est.","27","North America"
"Colombia","colombia","35,618,019","2020 est.","28","South America"
"Saudi Arabia","saudi-arabia","34,117,590","2020 est.","29","Middle East"
"Poland","poland","31,456,228","2020 est.","30","Europe"
"Morocco","morocco","31,004,869","2020 est.","31","Africa"
"Malaysia","malaysia","29,129,398","2020 est.","32","East and Southeast Asia"
"Algeria","algeria","27,626,157","2020 est.","33","Africa"
"Ethiopia","ethiopia","27,591,260","2020 est.","34","Africa"
"Iraq","iraq","24,133,502","2020 est.","35","Middle East"
"Australia","australia","23,123,940","2020 est.","36","Australia and Oceania"
"Peru","peru","21,431,700","2020 est.","37","South America"
"Taiwan","taiwan","21,158,750","2019 est.","38","East and Southeast Asia"
"Venezuela","venezuela","20,531,397","2019 est.","39","South America"
"Burma","burma","19,043,428","2020 est.","40","East and Southeast Asia"
"Ghana","ghana","18,022,308","2020 est.","41","Africa"
"Uzbekistan","uzbekistan","17,161,534","July 2022 est.","42","Central Asia"
"Chile","chile","16,822,264","2020 est.","43","South America"
"Kazakhstan","kazakhstan","16,465,777","July 2022 est.","44","Central Asia"
"Kenya","kenya","16,131,390","2020 est.","45","Africa"
"Netherlands","netherlands","15,871,765","2020 est.","46","Europe"
"Romania","romania","15,020,866","2020 est.","47","Europe"
"Tanzania","tanzania","13,141,527","2020 est.","48","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","12,538,597","2020 est.","49","Africa"
"Sudan","sudan","12,277,795","2020 est.","50","Africa"
"Angola","angola","11,831,857","2020 est.","51","Africa"
"Ecuador","ecuador","11,467,989","2020 est.","52","South America"
"Nepal","nepal","11,071,987","2020 est.","53","South Asia"
"Belgium","belgium","10,620,701","2020 est.","54","Europe"
"Cameroon","cameroon","10,087,428","2020 est.","55","Africa"
"United Arab Emirates","united-arab-emirates","9,890,400","2020 est.","56","Middle East"
"Sweden","sweden","9,835,769","2020 est.","57","Europe"
"Cote d'Ivoire","cote-divoire","9,496,179","2020 est.","58","Africa"
"Czechia","czechia","9,323,428","July 2022 est.","59","Europe"
"Uganda","uganda","9,148,200","2020 est.","60","Africa"
"Azerbaijan","azerbaijan","8,745,304","2022 est.","61","Middle East"
"Hungary","hungary","8,588,776","July 2022 est.","62","Europe"
"Tunisia","tunisia","8,509,405","2020 est.","63","Africa"
"Guatemala","guatemala","8,429,167","2020 est.","64","Central America and the Caribbean"
"Cuba","cuba","8,381,696","2020 est.","65","Central America and the Caribbean"
"Dominican Republic","dominican-republic","8,352,886","2020 est.","66","Central America and the Caribbean"
"Greece","greece","8,346,434","2020 est.","67","Europe"
"Israel","israel","8,293,590","2020 est.","68","Middle East"
"Switzerland","switzerland","8,118,367","2020 est.","69","Europe"
"Portugal","portugal","8,031,723","2020 est.","70","Europe"
"Belarus","belarus","8,027,601","July 2022 est.","71","Europe"
"Yemen","yemen","7,873,719","2019 est.","72","Middle East"
"Austria","austria","7,846,840","2020 est.","73","Europe"
"Sri Lanka","sri-lanka","7,671,650","2020 est.","74","South Asia"
"Senegal","senegal","7,199,890","2020 est.","75","Africa"
"Afghanistan","afghanistan","7,007,101","2020 est.","76","South Asia"
"Bolivia","bolivia","7,003,817","2020 est.","77","South America"
"Hong Kong","hong-kong","6,883,256","2020 est.","78","East and Southeast Asia"
"Lebanon","lebanon","6,825,442","2020 est.","79","Middle East"
"Jordan","jordan","6,768,137","2019 est.","80","Middle East"
"Syria","syria","6,300,237","2020 est.","81","Middle East"
"Denmark","denmark","5,656,462","2020 est.","82","Europe"
"Mali","mali","5,467,725","2020 est.","83","Africa"
"Cambodia","cambodia","5,440,559","2019 est.","84","East and Southeast Asia"
"Serbia","serbia","5,381,318","2020 est.","85","Europe"
