name,slug,value,date_of_information,ranking,region
"Indonesia","indonesia","10,427","","1","East and Southeast Asia"
"Panama","panama","7,980","","2","Central America and the Caribbean"
"China","china","6,662","","3","East and Southeast Asia"
"Japan","japan","5,201","","4","East and Southeast Asia"
"Liberia","liberia","3,942","","5","Africa"
"Marshall Islands","marshall-islands","3,817","","6","Australia and Oceania"
"Singapore","singapore","3,321","","7","East and Southeast Asia"
"Russia","russia","2,873","","8","Central Asia"
"Hong Kong","hong-kong","2,718","","9","East and Southeast Asia"
"Malta","malta","2,137","","10","Europe"
"Vietnam","vietnam","1,926","","11","East and Southeast Asia"
"Korea, South","korea-south","1,904","","12","East and Southeast Asia"
"Virgin Islands","virgin-islands","1,868","","13","Central America and the Caribbean"
"Philippines","philippines","1,805","","14","East and Southeast Asia"
"India","india","1,801","","15","South Asia"
"Malaysia","malaysia","1,769","","16","East and Southeast Asia"
"Norway","norway","1,644","","17","Europe"
"Bahamas, The","bahamas-the","1,323","","18","Central America and the Caribbean"
"Italy","italy","1,296","","19","Europe"
"United Kingdom","united-kingdom","1,249","","20","Europe"
"Greece","greece","1,236","","21","Europe"
"Turkey (Turkiye)","turkey-turkiye","1,217","","22","Middle East"
"Netherlands","netherlands","1,199","","23","Europe"
"Cyprus","cyprus","1,051","","24","Europe"
"Iran","iran","893","","25","Middle East"
"Brazil","brazil","864","","26","South America"
"Thailand","thailand","839","","27","East and Southeast Asia"
"Belize","belize","813","","28","Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","792","","29","Central America and the Caribbean"
"Nigeria","nigeria","791","","30","Africa"
"Portugal","portugal","726","","31","Europe"
"Denmark","denmark","717","","32","Europe"
"Canada","canada","679","","33","North America"
"Antigua and Barbuda","antigua-and-barbuda","677","","34","Central America and the Caribbean"
"Mexico","mexico","671","","35","North America"
"United Arab Emirates","united-arab-emirates","623","","36","Middle East"
"Germany","germany","599","","37","Europe"
"Sierra Leone","sierra-leone","591","","38","Africa"
"Australia","australia","581","","39","Australia and Oceania"
"France","france","548","","40","Europe"
"Honduras","honduras","505","","41","Central America and the Caribbean"
"Spain","spain","478","","42","Europe"
"Bangladesh","bangladesh","468","","43","South Asia"
"Taiwan","taiwan","429","","44","East and Southeast Asia"
"Egypt","egypt","421","","45","Africa"
"Togo","togo","411","","46","Africa"
"Ukraine","ukraine","409","","47","Europe"
"Saudi Arabia","saudi-arabia","392","","48","Middle East"
"Sweden","sweden","370","","49","Europe"
"Croatia","croatia","354","","50","Europe"
"Tanzania","tanzania","314","","51","Africa"
"Vanuatu","vanuatu","306","","52","Australia and Oceania"
"Azerbaijan","azerbaijan","305","","53","Middle East"
"Mongolia","mongolia","302","","54","East and Southeast Asia"
"Venezuela","venezuela","281","","55","South America"
"Finland","finland","272","","56","Europe"
"Korea, North","korea-north","264","","57","East and Southeast Asia"
"Palau","palau","264","","58","Australia and Oceania"
"Cambodia","cambodia","245","","59","East and Southeast Asia"
"Tuvalu","tuvalu","245","","60","Australia and Oceania"
"Saint Kitts and Nevis","saint-kitts-and-nevis","244","","61","Central America and the Caribbean"
"Comoros","comoros","236","","62","Africa"
"Chile","chile","231","","63","South America"
"Bahrain","bahrain","205","","64","Middle East"
"Argentina","argentina","202","","65","South America"
"Gibraltar","gibraltar","202","","66","Europe"
"Belgium","belgium","201","","67","Europe"
"Cook Islands","cook-islands","194","","68","Australia and Oceania"
"United States","united-states","178","2022","69","North America"
"Papua New Guinea","papua-new-guinea","177","","70","East and Southeast Asia"
"Barbados","barbados","165","","71","Central America and the Caribbean"
"Kuwait","kuwait","165","","72","Middle East"
"Cayman Islands","cayman-islands","160","","73","Central America and the Caribbean"
"Luxembourg","luxembourg","153","","74","Europe"
"Bermuda","bermuda","147","","75","North America"
"Moldova","moldova","147","","76","Europe"
"Ecuador","ecuador","145","","77","South America"
"Poland","poland","143","","78","Europe"
"Qatar","qatar","129","","79","Middle East"
"Colombia","colombia","122","","80","South America"
"Romania","romania","121","","81","Europe"
"Kazakhstan","kazakhstan","119","","82","Central Asia"
"New Zealand","new-zealand","115","","83","Australia and Oceania"
"Algeria","algeria","114","","84","Africa"
"Paraguay","paraguay","110","","85","South America"
"South Africa","south-africa","105","","86","Africa"
