name,slug,value,date_of_information,ranking,region
"Eritrea","eritrea","10.00","2019 est.","1","Africa"
"Oman","oman","8.00","2021 est.","2","Middle East"
"Kuwait","kuwait","6.80","2021 est.","3","Middle East"
"Syria","syria","6.50","2019 est.","4","Middle East"
"Saudi Arabia","saudi-arabia","6.00","2021 est.","5","Middle East"
"Somalia","somalia","6.00","2021 est.","6","Africa"
"Algeria","algeria","5.60","2021 est.","7","Africa"
"United Arab Emirates","united-arab-emirates","5.60","2020 est.","8","Middle East"
"Azerbaijan","azerbaijan","5.20","2021 est.","9","Middle East"
"Venezuela","venezuela","5.20","2019 est.","10","South America"
"Israel","israel","5.00","2021 est.","11","Middle East"
"Jordan","jordan","5.00","2021 est.","12","Middle East"
"Morocco","morocco","4.50","2021 est.","13","Africa"
"Armenia","armenia","4.40","2021 est.","14","Middle East"
"Cuba","cuba","4.20","2020 est.","15","Central America and the Caribbean"
"Pakistan","pakistan","4.00","2022 est.","16","South Asia"
"Qatar","qatar","4.00","2021 est.","17","Middle East"
"Russia","russia","4.00","2021 est.","18","Central Asia"
"Ukraine","ukraine","4.00","2021 est.","19","Europe"
"Greece","greece","3.80","2022 est.","20","Europe"
"Iraq","iraq","3.70","2021 est.","21","Middle East"
"Bahrain","bahrain","3.60","2021 est.","22","Middle East"
"Djibouti","djibouti","3.50","2019 est.","23","Africa"
"Mali","mali","3.50","2021 est.","24","Africa"
"United States","united-states","3.50","2022 est.","25","North America"
"Burma","burma","3.40","2021 est.","26","East and Southeast Asia"
"Afghanistan","afghanistan","3.30","2019","27","South Asia"
"Lebanon","lebanon","3.20","2021 est.","28","Middle East"
"Singapore","singapore","3.20","2021 est.","29","East and Southeast Asia"
"Brunei","brunei","3.10","2021 est.","30","East and Southeast Asia"
"Botswana","botswana","3.00","2021 est.","31","Africa"
"Colombia","colombia","3.00","2021 est.","32","South America"
"Namibia","namibia","3.00","2021 est.","33","Africa"
"Tunisia","tunisia","3.00","2021 est.","34","Africa"
"Uzbekistan","uzbekistan","2.80","2019 est.","35","Central Asia"
"Korea, South","korea-south","2.60","2022 est.","36","East and Southeast Asia"
"Zimbabwe","zimbabwe","2.60","2019 est.","37","Africa"
"Cambodia","cambodia","2.50","2021 est.","38","East and Southeast Asia"
"Chad","chad","2.50","2021 est.","39","Africa"
"Congo, Republic of the","congo-republic-of-the","2.50","2021 est.","40","Africa"
"Lithuania","lithuania","2.50","2022 est.","41","Europe"
"Mauritania","mauritania","2.50","2022 est.","42","Africa"
"Uganda","uganda","2.50","2021 est.","43","Africa"
"Burkina Faso","burkina-faso","2.40","2021 est.","44","Africa"
"Poland","poland","2.40","2022","45","Europe"
"Serbia","serbia","2.40","2021 est.","46","Europe"
"Vietnam","vietnam","2.40","2021 est.","47","East and Southeast Asia"
"Estonia","estonia","2.35","2022 est.","48","Europe"
"Iran","iran","2.30","2021 est.","49","Middle East"
"Uruguay","uruguay","2.30","2021 est.","50","South America"
"Taiwan","taiwan","2.20","2022 est.","51","East and Southeast Asia"
"India","india","2.10","2022 est.","52","South Asia"
"Latvia","latvia","2.10","2022 est.","53","Europe"
"Togo","togo","2.10","2022 est.","54","Africa"
"Tonga","tonga","2.10","2020 est.","55","Australia and Oceania"
"United Kingdom","united-kingdom","2.10","2022 est.","56","Europe"
"Australia","australia","2.00","2022 est.","57","Australia and Oceania"
"Burundi","burundi","2.00","2021 est.","58","Africa"
"Chile","chile","2.00","2021 est.","59","South America"
"Croatia","croatia","2.00","2022 est.","60","Europe"
"Cyprus","cyprus","2.00","2022 est.","61","Europe"
"Ecuador","ecuador","2.00","2021 est.","62","South America"
"Finland","finland","2.00","2022 est.","63","Europe"
"Kosovo","kosovo","2.00","2022 est.","64","Europe"
"Romania","romania","2.00","2022 est.","65","Europe"
"Slovakia","slovakia","2.00","2022 est.","66","Europe"
"South Sudan","south-sudan","2.00","2021 est.","67","Africa"
"France","france","1.90","2022 est.","68","Europe"
"Sri Lanka","sri-lanka","1.90","2022 est.","69","South Asia"
"Turkmenistan","turkmenistan","1.90","2019 est.","70","Central Asia"
"Central African Republic","central-african-republic","1.80","2021 est.","71","Africa"
"Guinea-Bissau","guinea-bissau","1.80","2021 est.","72","Africa"
"Montenegro","montenegro","1.80","2022 est.","73","Europe"
"Niger","niger","1.80","2021 est.","74","Africa"
"North Macedonia","north-macedonia","1.80","2022 est.","75","Europe"
"Timor-Leste","timor-leste","1.80","2021 est.","76","East and Southeast Asia"
"Bulgaria","bulgaria","1.70","2022 est.","77","Europe"
"Eswatini","eswatini","1.70","2021 est.","78","Africa"
"Gabon","gabon","1.70","2021 est.","79","Africa"
"Georgia","georgia","1.70","2021 est.","80","Middle East"
"Hungary","hungary","1.70","2022 est.","81","Europe"
"Kyrgyzstan","kyrgyzstan","1.70","2021 est.","82","Central Asia"
