name,slug,value,date_of_information,ranking,region
"China","china","1,720,000,000","2020 est.","1","East and Southeast Asia"
"India","india","1,150,000,000","2020 est.","2","South Asia"
"United States","united-states","442,457,000","2019","3","North America"
"Indonesia","indonesia","355,620,388","2020 est.","4","East and Southeast Asia"
"Russia","russia","238,733,217","2020 est.","5","Central Asia"
"Brazil","brazil","205,834,781","2020 est.","6","South America"
"Nigeria","nigeria","204,228,678","2020 est.","7","Africa"
"Japan","japan","195,054,893","2020 est.","8","East and Southeast Asia"
"Bangladesh","bangladesh","181,021,227","2021 est.","9","South Asia"
"Pakistan","pakistan","175,624,364","2020 est.","10","South Asia"
"Philippines","philippines","149,579,406","2020 est.","11","East and Southeast Asia"
"Vietnam","vietnam","136,230,000","2019","12","East and Southeast Asia"
"Thailand","thailand","129,614,000","2019","13","East and Southeast Asia"
"Iran","iran","127,624,951","2020 est.","14","Middle East"
"Mexico","mexico","122,898,392","2020 est.","15","North America"
"Germany","germany","107,400,000","2020 est.","16","Europe"
"South Africa","south-africa","96,972,500","2019","17","Africa"
"Egypt","egypt","95,357,427","2020 est.","18","Africa"
"United Kingdom","united-kingdom","80,967,000","2019","19","Europe"
"Turkey (Turkiye)","turkey-turkiye","80,790,900","2019","20","Middle East"
"Burma","burma","78,548,329","2020 est.","21","East and Southeast Asia"
"Italy","italy","77,581,048","2020 est.","22","Europe"
"France","france","72,751,000","2020 est.","23","Europe"
"Korea, South","korea-south","70,513,676","2020 est.","24","East and Southeast Asia"
"Colombia","colombia","67,672,570","2020 est.","25","South America"
"Kenya","kenya","61,408,904","2020 est.","26","Africa"
"Argentina","argentina","59,065,827","2021 est.","27","South America"
"Spain","spain","55,354,900","2019","28","Europe"
"Ukraine","ukraine","54,842,900","2019","29","Europe"
"Poland","poland","50,588,785","2021 est.","30","Europe"
"Morocco","morocco","49,421,023","2020 est.","31","Africa"
"Tanzania","tanzania","47,685,200","2019","32","Africa"
"Algeria","algeria","47,028,685","2021 est.","33","Africa"
"Ethiopia","ethiopia","44,500,000","2020 est.","34","Africa"
"Peru","peru","44,000,000","2020 est.","35","South America"
"Malaysia","malaysia","43,723,600","2020 est.","36","East and Southeast Asia"
"Saudi Arabia","saudi-arabia","43,215,439","2020 est.","37","Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","40,798,396","2020 est.","38","Africa"
"Ghana","ghana","40,461,609","2020 est.","39","Africa"
"Cote d'Ivoire","cote-divoire","40,095,246","2020 est.","40","Africa"
"Nepal","nepal","38,213,000","2020 est.","41","South Asia"
"Iraq","iraq","37,475,325","2020 est.","42","Middle East"
"Uzbekistan","uzbekistan","35,069,999","2021","43","Central Asia"
"Sudan","sudan","33,014,200","2019","44","Africa"
"Canada","canada","32,360,000","2020 est.","45","North America"
"Sri Lanka","sri-lanka","30,778,600","2019","46","South Asia"
"Taiwan","taiwan","29,291,500","2019","47","East and Southeast Asia"
"Australia","australia","27,090,000","2021 est.","48","Australia and Oceania"
"Uganda","uganda","25,395,500","2019","49","Africa"
"Mali","mali","25,315,598","2020 est.","50","Africa"
"Chile","chile","25,068,249","2020 est.","51","South America"
"Kazakhstan","kazakhstan","24,293,900","2020 est.","52","Central Asia"
"Afghanistan","afghanistan","22,678,024","2020 est.","53","South Asia"
"Romania","romania","22,592,000","2020 est.","54","Europe"
"Cameroon","cameroon","22,350,310","2020 est.","55","Africa"
"Burkina Faso","burkina-faso","22,117,218","2020 est.","56","Africa"
"Hong Kong","hong-kong","21,865,215","2020 est.","57","East and Southeast Asia"
"Netherlands","netherlands","21,415,000","2020 est.","58","Europe"
"Cambodia","cambodia","21,086,791","2020 est.","59","East and Southeast Asia"
"Guatemala","guatemala","20,390,671","2020 est.","60","Central America and the Caribbean"
"Zambia","zambia","20,247,111","2021","61","Africa"
"United Arab Emirates","united-arab-emirates","19,602,800","2019","62","Middle East"
"Syria","syria","19,387,600","2019","63","Middle East"
"Senegal","senegal","19,078,948","2020 est.","64","Africa"
"Madagascar","madagascar","15,869,000","2020 est.","65","Africa"
"Ecuador","ecuador","15,485,366","2020 est.","66","South America"
"Mozambique","mozambique","15,463,226","2020 est.","67","Africa"
"Angola","angola","15,327,864","2021 est.","68","Africa"
"Yemen","yemen","15,178,000","2020","69","Middle East"
"Tunisia","tunisia","14,771,000","2019","70","Africa"
"Zimbabwe","zimbabwe","14,257,589","2021","71","Africa"
"Niger","niger","14,239,000","2020 est.","72","Africa"
"Guinea","guinea","13,795,000","2020 est.","73","Africa"
"Venezuela","venezuela","13,476,300","2019","74","South America"
"Czechia","czechia","12,999,812","2020 est.","75","Europe"
"Sweden","sweden","12,895,900","2019","76","Europe"
"Israel","israel","12,270,000","2020 est.","77","Middle East"
"Portugal","portugal","11,854,999","2020 est.","78","Europe"
"Bolivia","bolivia","11,804,343","2020 est.","79","South America"
"Belarus","belarus","11,760,087","2021 est.","80","Europe"
"Belgium","belgium","11,740,118","2021 est.","81","Europe"
"Greece","greece","11,412,995","2020 est.","82","Europe"
"Benin","benin","11,140,891","2020 est.","83","Africa"
"Austria","austria","10,882,217","2021 est.","84","Europe"
"Switzerland","switzerland","10,829,000","2019","85","Europe"
"Azerbaijan","azerbaijan","10,817,071","2021 est.","86","Middle East"
"Rwanda","rwanda","10,614,408","2020 est.","87","Africa"
"Hungary","hungary","10,248,653","2021 est.","88","Europe"
"Malawi","malawi","10,004,680","2020 est.","89","Africa"
"El Salvador","el-salvador","9,949,000","2020 est.","90","Central America and the Caribbean"
"Tajikistan","tajikistan","9,904,000","2019","91","Central Asia"
"Turkmenistan","turkmenistan","9,377,000","2020","92","Central Asia"
"Singapore","singapore","9,034,300","2019","93","East and Southeast Asia"
"Dominican Republic","dominican-republic","8,989,587","2020 est.","94","Central America and the Caribbean"
"Chad","chad","8,687,151","2020 est.","95","Africa"
"Kyrgyzstan","kyrgyzstan","8,511,000","2020 est.","96","Central Asia"
"Serbia","serbia","8,260,758","2020 est.","97","Europe"
"Bulgaria","bulgaria","7,945,739","2020 est.","98","Europe"
"Paraguay","paraguay","7,865,050","2020 est.","99","South America"
"Costa Rica","costa-rica","7,512,370","2020 est.","100","Central America and the Caribbean"
"Slovakia","slovakia","7,362,325","2021","101","Europe"
"Haiti","haiti","7,319,000","2020 est.","102","Central America and the Caribbean"
"Denmark","denmark","7,287,875","2021 est.","103","Europe"
"Finland","finland","7,120,000","2020 est.","104","Europe"
"Somalia","somalia","7,119,000","2018","105","Africa"
"Jordan","jordan","6,987,891","2020 est.","106","Middle East"
"Honduras","honduras","6,960,654","2020 est.","107","Central America and the Caribbean"
"Sierra Leone","sierra-leone","6,884,201","2020 est.","108","Africa"
"Kuwait","kuwait","6,770,346","2020 est.","109","Middle East"
"Cuba","cuba","6,661,763","2020 est.","110","Central America and the Caribbean"
"Burundi","burundi","6,631,151","2020 est.","111","Africa"
"Oman","oman","6,276,535","2020 est.","112","Middle East"
"Togo","togo","6,239,180","2019","113","Africa"
"New Zealand","new-zealand","6,148,000","2020 est.","114","Australia and Oceania"
"Korea, North","korea-north","6,000,000","2020 est.","115","East and Southeast Asia"
"Nicaragua","nicaragua","5,976,479","2020 est.","116","Central America and the Caribbean"
"Panama","panama","5,825,677","2020 est.","117","Central America and the Caribbean"
"Norway","norway","5,825,584","2020 est.","118","Europe"
"Ireland","ireland","5,234,027","2020 est.","119","Europe"
"Georgia","georgia","5,163,558","2021 est.","120","Middle East"
"Mauritania","mauritania","4,932,571","2020 est.","121","Africa"
"Congo, Republic of the","congo-republic-of-the","4,890,000","2020 est.","122","Africa"
"Papua New Guinea","papua-new-guinea","4,818,000","2020 est.","123","East and Southeast Asia"
"Uruguay","uruguay","4,779,790","2019","124","South America"
"Croatia","croatia","4,375,699","2020 est.","125","Europe"
"Mongolia","mongolia","4,363,919","2020 est.","126","East and Southeast Asia"
"Lebanon","lebanon","4,288,221","2020 est.","127","Middle East"
"Gaza Strip","gaza-strip","4,274,119","2020 est.","128","Middle East"
"Laos","laos","4,100,000","2020 est.","129","East and Southeast Asia"
"West Bank","west-bank","4,052,966","2021 est.","130","Middle East"
"Botswana","botswana","3,829,408","2020 est.","131","Africa"
"Qatar","qatar","3,798,514","2020 est.","132","Middle East"
"Lithuania","lithuania","3,726,653","2021 est.","133","Europe"
"Armenia","armenia","3,599,278","2021 est.","134","Middle East"
"Bosnia and Herzegovina","bosnia-and-herzegovina","3,509,674","2020 est.","135","Europe"
"Puerto Rico","puerto-rico","3,483,570","2020 est.","136","Central America and the Caribbean"
"Moldova","moldova","3,420,383","2020 est.","137","Europe"
"Gabon","gabon","3,049,530","2020 est.","138","Africa"
"Libya","libya","2,922,000","2020 est.","139","Africa"
"Namibia","namibia","2,898,125","2020 est.","140","Africa"
"Jamaica","jamaica","2,873,259","2020 est.","141","Central America and the Caribbean"
"Macau","macau","2,793,000","2020 est.","142","East and Southeast Asia"
"Gambia, The","gambia-the","2,677,954","2020 est.","143","Africa"
"Albania","albania","2,635,466","2021 est.","144","Europe"
"Slovenia","slovenia","2,511,980","2019","145","Europe"
"South Sudan","south-sudan","2,221,970","2019","146","Africa"
"Trinidad and Tobago","trinidad-and-tobago","2,163,730","2019","147","Central America and the Caribbean"
"Latvia","latvia","2,161,725","2021 est.","148","Europe"
"Estonia","estonia","1,925,789","2020 est.","149","Europe"
"Bahrain","bahrain","1,923,443","2021 est.","150","Middle East"
"Guinea-Bissau","guinea-bissau","1,913,858","2020 est.","151","Africa"
"Mauritius","mauritius","1,912,900","2020 est.","152","Africa"
"North Macedonia","north-macedonia","1,862,138","2020 est.","153","Europe"
"Central African Republic","central-african-republic","1,831,000","2020 est.","154","Africa"
"Eritrea","eritrea","1,801,000","2020 est.","155","Africa"
"Liberia","liberia","1,653,000","2020 est.","156","Africa"
"Lesotho","lesotho","1,562,648","2020 est.","157","Africa"
"Timor-Leste","timor-leste","1,425,260","2019","158","East and Southeast Asia"
"Eswatini","eswatini","1,243,000","2020 est.","159","Africa"
"Cyprus","cyprus","1,239,960","2020 est.","160","Europe"
"Montenegro","montenegro","1,080,089","2020 est.","161","Europe"
"Fiji","fiji","991,500","2020 est.","162","Australia and Oceania"
"Luxembourg","luxembourg","890,000","2020 est.","163","Europe"
"Guyana","guyana","856,000","2020 est.","164","South America"
"Suriname","suriname","813,844","2019","165","South America"
"Comoros","comoros","781,579","2020 est.","166","Africa"
"Bhutan","bhutan","745,137","2020 est.","167","South Asia"
"Maldives","maldives","717,708","2020 est.","168","South Asia"
"Equatorial Guinea","equatorial-guinea","645,000","2020 est.","169","Africa"
"Malta","malta","633,123","2020 est.","170","Europe"
"Kosovo","kosovo","562,000","2015 est.","171","Europe"
"Cabo Verde","cabo-verde","544,729","2020 est.","172","Africa"
"Brunei","brunei","526,589","2020 est.","173","East and Southeast Asia"
"Solomon Islands","solomon-islands","478,116","2019","174","Australia and Oceania"
"Bahamas, The","bahamas-the","466,000","2020 est.","175","Central America and the Caribbean"
"Djibouti","djibouti","434,035","2020 est.","176","Africa"
"Iceland","iceland","421,384","2020 est.","177","Europe"
"French Polynesia","french-polynesia","335,000","2020 est.","178","Australia and Oceania"
"Barbados","barbados","316,633","2021 est.","179","Central America and the Caribbean"
"Vanuatu","vanuatu","265,219","2019","180","Australia and Oceania"
"Belize","belize","264,000","2020 est.","181","Central America and the Caribbean"
"New Caledonia","new-caledonia","260,000","2020 est.","182","Australia and Oceania"
"Saint Lucia","saint-lucia","203,000","2020 est.","183","Central America and the Caribbean"
"Antigua and Barbuda","antigua-and-barbuda","184,000","2020 est.","184","Central America and the Caribbean"
"Seychelles","seychelles","183,498","2020","185","Africa"
"Curacao","curacao","182,000","2020 est.","186","Central America and the Caribbean"
"Sao Tome and Principe","sao-tome-and-principe","174,203","2020 est.","187","Africa"
"Aruba","aruba","141,000","2020 est.","188","Central America and the Caribbean"
"Grenada","grenada","122,000","2020 est.","189","Central America and the Caribbean"
"Cayman Islands","cayman-islands","100,000","2020 est.","190","Central America and the Caribbean"
"Guam","guam","98,000","2009 est.","191","Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","97,059","2020 est.","192","Central America and the Caribbean"
"Andorra","andorra","94,000","2020 est.","193","Europe"
"Jersey","jersey","83,900","2009 est.","194","Europe"
"Virgin Islands","virgin-islands","80,000","2020 est.","195","Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","78,000","2020 est.","196","Central America and the Caribbean"
"Dominica","dominica","76,000","2020 est.","197","Central America and the Caribbean"
"Samoa","samoa","69,000","2020 est.","198","Australia and Oceania"
"Saint Martin","saint-martin","68,840","2017 est.","199","Central America and the Caribbean"
"Sint Maarten","sint-maarten","68,840","2017","200","Central America and the Caribbean"
"Bermuda","bermuda","68,000","2020 est.","201","North America"
"Greenland","greenland","65,958","2020 est.","202","North America"
"Tonga","tonga","62,104","2019","203","Australia and Oceania"
"Faroe Islands","faroe-islands","59,213","2020 est.","204","Europe"
"Kiribati","kiribati","54,661","2020 est.","205","Australia and Oceania"
"Liechtenstein","liechtenstein","48,887","2020 est.","206","Europe"
"Guernsey","guernsey","43,824","2009 est.","207","Europe"
"San Marino","san-marino","39,000","2020 est.","208","Europe"
"Monaco","monaco","35,485","2020 est.","209","Europe"
"Gibraltar","gibraltar","35,438","2020 est.","210","Europe"
"British Virgin Islands","british-virgin-islands","35,163","2020 est.","211","Central America and the Caribbean"
"Anguilla","anguilla","26,000","2018 est.","212","Central America and the Caribbean"
"Palau","palau","24,000","2020 est.","213","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","22,000","2020 est.","214","Australia and Oceania"
"Northern Mariana Islands","northern-mariana-islands","20,474","2004 est.","215","Australia and Oceania"
"Marshall Islands","marshall-islands","16,000","2020 est.","216","Australia and Oceania"
"Cook Islands","cook-islands","14,539","2018 est.","217","Australia and Oceania"
"Nauru","nauru","10,000","2020 est.","218","Australia and Oceania"
"Tuvalu","tuvalu","8,000","2018","219","Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","5,000","2018 est.","220","South America"
"Montserrat","montserrat","5,000","2018 est.","221","Central America and the Caribbean"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","4,000","2018 est.","222","Africa"
"American Samoa","american-samoa","2,250","2009 est.","223","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","0","2018","224","Australia and Oceania"
