name,slug,value,date_of_information,ranking,region
"Eswatini","eswatini","27.9","2021 est.","1","Africa"
"Lesotho","lesotho","20.9","2021 est.","2","Africa"
"Botswana","botswana","18.6","2021 est.","3","Africa"
"South Africa","south-africa","18.3","2021 est.","4","Africa"
"Namibia","namibia","11.8","2021 est.","5","Africa"
"Zimbabwe","zimbabwe","11.6","2021 est.","6","Africa"
"Zambia","zambia","10.8","2021 est.","7","Africa"
"Malawi","malawi","7.7","2021 est.","8","Africa"
"Equatorial Guinea","equatorial-guinea","6.9","2021 est.","9","Africa"
"Uganda","uganda","5.4","2020 est.","10","Africa"
"Tuvalu","tuvalu","5.2","2021","11","Australia and Oceania"
"Tanzania","tanzania","4.5","2021 est.","12","Africa"
"Kenya","kenya","4.0","2021 est.","13","Africa"
"Congo, Republic of the","congo-republic-of-the","3.8","2021 est.","14","Africa"
"Guinea-Bissau","guinea-bissau","3.1","2021 est.","15","Africa"
"Gabon","gabon","3.0","2021 est.","16","Africa"
"Cameroon","cameroon","2.9","2021 est.","17","Africa"
"Central African Republic","central-african-republic","2.7","2021 est.","18","Africa"
"Rwanda","rwanda","2.3","2021 est.","19","Africa"
"South Sudan","south-sudan","2.1","2021 est.","20","Africa"
"Cote d'Ivoire","cote-divoire","1.9","2021 est.","21","Africa"
"Togo","togo","1.9","2021 est.","22","Africa"
"Haiti","haiti","1.8","2021 est.","23","Central America and the Caribbean"
"Gambia, The","gambia-the","1.7","2021 est.","24","Africa"
"Ghana","ghana","1.7","2021 est.","25","Africa"
"Angola","angola","1.6","2021 est.","26","Africa"
"Guinea","guinea","1.5","2021 est.","27","Africa"
"Guyana","guyana","1.4","2021 est.","28","South America"
"Mauritius","mauritius","1.4","2021 est.","29","Africa"
"Sierra Leone","sierra-leone","1.4","2021 est.","30","Africa"
"Bahamas, The","bahamas-the","1.3","2021 est.","31","Central America and the Caribbean"
"Jamaica","jamaica","1.3","2021 est.","32","Central America and the Caribbean"
"Nigeria","nigeria","1.3","2021 est.","33","Africa"
"Suriname","suriname","1.3","2021 est.","34","South America"
"Belize","belize","1.1","2021 est.","35","Central America and the Caribbean"
"Chad","chad","1.1","2021 est.","36","Africa"
"Liberia","liberia","1.1","2021 est.","37","Africa"
"Thailand","thailand","1.0","2021 est.","38","East and Southeast Asia"
"Trinidad and Tobago","trinidad-and-tobago","1.0","2021 est.","39","Central America and the Caribbean"
"Barbados","barbados","0.9","2021 est.","40","Central America and the Caribbean"
"Burundi","burundi","0.9","2021 est.","41","Africa"
"Dominican Republic","dominican-republic","0.9","2021 est.","42","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","0.9","2021 est.","43","East and Southeast Asia"
"Ukraine","ukraine","0.9","2021 est.","44","Europe"
"Benin","benin","0.8","2021 est.","45","Africa"
"Burma","burma","0.8","2021 est.","46","East and Southeast Asia"
"Ethiopia","ethiopia","0.8","2021 est.","47","Africa"
"Mali","mali","0.8","2021 est.","48","Africa"
"Moldova","moldova","0.8","2021 est.","49","Europe"
