name,slug,value,date_of_information,ranking,region
"United States","united-states","293,564.2","2014","1","North America"
"China","china","150,000.0","2021","2","East and Southeast Asia"
"Russia","russia","85,494.0","2019","3","Central Asia"
"India","india","65,554.0","2014","4","South Asia"
"Canada","canada","49,422.0","2021","5","North America"
"Germany","germany","39,379.0","2020","6","Europe"
"Australia","australia","36,064.0","2022","7","Australia and Oceania"
"Brazil","brazil","29,849.9","2014","8","South America"
"France","france","27,860.0","2020","9","Europe"
"Japan","japan","27,311.0","2015","10","East and Southeast Asia"
"Mexico","mexico","23,389.0","2017","11","North America"
"Ukraine","ukraine","21,733.0","2014","12","Europe"
"South Africa","south-africa","20,986.0","2014","13","Africa"
"Poland","poland","19,461.0","2020","14","Europe"
"Italy","italy","18,475.0","2020","15","Europe"
"Argentina","argentina","17,866.0","2018","16","South America"
"Kazakhstan","kazakhstan","16,636.0","2020","17","Central Asia"
"United Kingdom","united-kingdom","16,390.0","2020","18","Europe"
"Spain","spain","15,489.0","2020","19","Europe"
"Pakistan","pakistan","11,881.0","2021","20","South Asia"
"Turkey (Turkiye)","turkey-turkiye","11,497.0","2018","21","Middle East"
"Sweden","sweden","10,910.0","2020","22","Europe"
"Romania","romania","10,628.0","2020","23","Europe"
"Czechia","czechia","9,548.0","2020","24","Europe"
"Iran","iran","8,483.5","2014","25","Middle East"
"Cuba","cuba","8,367.0","2017","26","Central America and the Caribbean"
"Indonesia","indonesia","8,159.0","2014","27","East and Southeast Asia"
"Hungary","hungary","7,687.0","2020","28","Europe"
"Korea, North","korea-north","7,435.0","2014","29","East and Southeast Asia"
"Chile","chile","7,281.5","2014","30","South America"
"Sudan","sudan","7,251.0","2014","31","Africa"
"Austria","austria","6,123.0","2022","32","Europe"
"Finland","finland","5,918.0","2020","33","Europe"
"Belarus","belarus","5,528.0","2014","34","Europe"
"Saudi Arabia","saudi-arabia","5,410.0","2016","35","Middle East"
"Switzerland","switzerland","5,296.0","2020","36","Europe"
"Turkmenistan","turkmenistan","5,113.0","2017","37","Central Asia"
"Egypt","egypt","5,085.0","2014","38","Africa"
"Burma","burma","5,031.0","2008","39","East and Southeast Asia"
"Mozambique","mozambique","4,787.0","2014","40","Africa"
"Uzbekistan","uzbekistan","4,642.0","2018","41","Central Asia"
"New Zealand","new-zealand","4,128.0","2018","42","Australia and Oceania"
"Thailand","thailand","4,127.0","2017","43","East and Southeast Asia"
"Tanzania","tanzania","4,097.0","2022","44","Africa"
"Bulgaria","bulgaria","4,029.0","2020","45","Europe"
"Algeria","algeria","4,020.0","2019","46","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","4,007.0","2014","47","Africa"
"Korea, South","korea-south","3,979.0","2016","48","East and Southeast Asia"
"Bolivia","bolivia","3,960.0","2019","49","South America"
"Norway","norway","3,848.0","2020","50","Europe"
"Kenya","kenya","3,819.0","2018","51","Africa"
"Nigeria","nigeria","3,798.0","2014","52","Africa"
"Slovakia","slovakia","3,627.0","2020","53","Europe"
"Belgium","belgium","3,602.0","2020","54","Europe"
"Zimbabwe","zimbabwe","3,427.0","2014","55","Africa"
"Serbia","serbia","3,333.0","2020","56","Europe"
"Zambia","zambia","3,126.0","2014","57","Africa"
"Netherlands","netherlands","3,055.0","2020","58","Europe"
"Azerbaijan","azerbaijan","2,944.3","2017","59","Middle East"
"Angola","angola","2,761.0","2022","60","Africa"
"Denmark","denmark","2,682.0","2020","61","Europe"
"Namibia","namibia","2,628.0","2014","62","Africa"
"Croatia","croatia","2,617.0","2020","63","Europe"
"Vietnam","vietnam","2,600.0","2014","64","East and Southeast Asia"
"Portugal","portugal","2,526.0","2020","65","Europe"
"Bangladesh","bangladesh","2,460.0","2014","66","South Asia"
"Greece","greece","2,345.0","2020","67","Europe"
"Iraq","iraq","2,272.0","2014","68","Middle East"
"Latvia","latvia","2,216.0","2020","69","Europe"
"Tunisia","tunisia","2,173.0","2014","70","Africa"
"Colombia","colombia","2,141.0","2019","71","South America"
"Morocco","morocco","2,067.0","2014","72","Africa"
"Syria","syria","2,052.0","2014","73","Middle East"
"Lithuania","lithuania","1,911.0","2020","74","Europe"
"Peru","peru","1,854.4","2017","75","South America"
"Malaysia","malaysia","1,851.0","2014","76","East and Southeast Asia"
"Mongolia","mongolia","1,815.0","2017","77","East and Southeast Asia"
"Ireland","ireland","1,688.0","2020","78","Europe"
"Uruguay","uruguay","1,673.0","2016","79","South America"
"Taiwan","taiwan","1,613.1","2018","80","East and Southeast Asia"
"Sri Lanka","sri-lanka","1,562.0","2016","81","South Asia"
"Estonia","estonia","1,441.0","2020","82","Europe"
"Israel","israel","1,384.0","2019","83","Middle East"
"Georgia","georgia","1,363.0","2014","84","Middle East"
"Uganda","uganda","1,244.0","2014","85","Africa"
"Slovenia","slovenia","1,207.0","2020","86","Europe"
"Moldova","moldova","1,171.0","2014","87","Europe"
"Guinea","guinea","1,086.0","2017","88","Africa"
"Cameroon","cameroon","987.0","2014","89","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","965.0","2014","90","Europe"
"Ecuador","ecuador","965.0","2022","91","South America"
"Ghana","ghana","947.0","2022","92","Africa"
"Senegal","senegal","906.0","2017","93","Africa"
"Botswana","botswana","888.0","2014","94","Africa"
"Madagascar","madagascar","836.0","2018","95","Africa"
"Guatemala","guatemala","800.0","2018","96","Central America and the Caribbean"
"Malawi","malawi","767.0","2014","97","Africa"
"Mauritania","mauritania","728.0","2014","98","Africa"
"Honduras","honduras","699.0","2014","99","Central America and the Caribbean"
"North Macedonia","north-macedonia","699.0","2020","100","Europe"
"Armenia","armenia","686.0","2017","101","Middle East"
"Tajikistan","tajikistan","680.0","2014","102","Central Asia"
"Cote d'Ivoire","cote-divoire","660.0","2008","103","Africa"
"Ethiopia","ethiopia","659.0","2017","104","Africa"
"Gabon","gabon","649.0","2014","105","Africa"
"Cambodia","cambodia","642.0","2014","106","East and Southeast Asia"
"Burkina Faso","burkina-faso","622.0","2014","107","Africa"
"Fiji","fiji","597.0","2008","108","Australia and Oceania"
"Mali","mali","593.0","2014","109","Africa"
"Togo","togo","568.0","2014","110","Africa"
"Congo, Republic of the","congo-republic-of-the","510.0","2014","111","Africa"
"Jordan","jordan","509.0","2020","112","Middle East"
"Dominican Republic","dominican-republic","496.0","2014","113","Central America and the Caribbean"
"Venezuela","venezuela","447.0","2014","114","South America"
"Benin","benin","438.0","2014","115","Africa"
"Kosovo","kosovo","437.0","2020","116","Europe"
"Liberia","liberia","429.0","2008","117","Africa"
"Albania","albania","424.0","2017","118","Europe"
"Kyrgyzstan","kyrgyzstan","424.0","2022","119","Central Asia"
"Lebanon","lebanon","401.0","2017","120","Middle East"
"Eritrea","eritrea","306.0","2018","121","Africa"
"Eswatini","eswatini","301.0","2014","122","Africa"
"Costa Rica","costa-rica","278.0","2014","123","Central America and the Caribbean"
"Luxembourg","luxembourg","271.0","2020","124","Europe"
"Montenegro","montenegro","250.0","2017","125","Europe"
"South Sudan","south-sudan","248.0","2018","126","Africa"
"Djibouti","djibouti","97.0","2017","127","Africa"
"Panama","panama","77.0","2014","128","Central America and the Caribbean"
"Philippines","philippines","77.0","2017","129","East and Southeast Asia"
"Isle of Man","isle-of-man","63.0","2008","130","Europe"
"Nepal","nepal","59.0","2018","131","South Asia"
"Saint Kitts and Nevis","saint-kitts-and-nevis","50.0","2008","132","Central America and the Caribbean"
"Paraguay","paraguay","30.0","2014","133","South America"
"Christmas Island","christmas-island","18.0","2017","134","Australia and Oceania"
"El Salvador","el-salvador","12.5","2014","135","Central America and the Caribbean"
"Liechtenstein","liechtenstein","9.0","2018","136","Europe"
