name,slug,value,date_of_information,ranking,region
"United States","united-states","6,586,610","2012","1","North America"
"India","india","6,371,847","2021","2","South Asia"
"China","china","5,200,000","2020","3","East and Southeast Asia"
"Brazil","brazil","2,000,000","2018","4","South America"
"Russia","russia","1,283,387","2012","5","Central Asia"
"Japan","japan","1,218,772","2015","6","East and Southeast Asia"
"France","france","1,053,215","2011","7","Europe"
"Canada","canada","1,042,300","2011","8","North America"
"Australia","australia","873,573","2015","9","Australia and Oceania"
"South Africa","south-africa","750,000","2016","10","Africa"
"Mexico","mexico","704,884","2017","11","North America"
"Spain","spain","683,175","2011","12","Europe"
"Germany","germany","625,000","2017","13","Europe"
"Sweden","sweden","573,134","2016","14","Europe"
"Indonesia","indonesia","496,607","2011","15","East and Southeast Asia"
"Italy","italy","487,700","2007","16","Europe"
"Finland","finland","454,000","2012","17","Europe"
"Poland","poland","420,000","2016","18","Europe"
"United Kingdom","united-kingdom","394,428","2009","19","Europe"
"Bangladesh","bangladesh","369,105","2018","20","South Asia"
"Argentina","argentina","281,290","2017","21","South America"
"Pakistan","pakistan","264,175","2021","22","South Asia"
"Iran","iran","223,485","2018","23","Middle East"
"Saudi Arabia","saudi-arabia","221,372","2006","24","Middle East"
"Philippines","philippines","216,387","2014","25","East and Southeast Asia"
"Colombia","colombia","205,379","2019","26","South America"
"Hungary","hungary","203,601","2014","27","Europe"
"Vietnam","vietnam","195,468","2013","28","East and Southeast Asia"
"Nigeria","nigeria","195,000","2017","29","Africa"
"Thailand","thailand","180,053","2006","30","East and Southeast Asia"
"Ukraine","ukraine","169,694","2012","31","Europe"
"Kenya","kenya","161,452","2018","32","Africa"
"Burma","burma","157,000","2013","33","East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","152,373","2015","34","Africa"
"Tanzania","tanzania","145,203","2022","35","Africa"
"Malaysia","malaysia","144,403","2010","36","East and Southeast Asia"
"Netherlands","netherlands","139,124","2016","37","Europe"
"Mali","mali","139,107","2018","38","Africa"
"Austria","austria","137,039","2018","39","Europe"
"Ethiopia","ethiopia","120,171","2018","40","Africa"
"Belgium","belgium","118,414","2015","41","Europe"
"Greece","greece","117,000","2018","42","Europe"
"Sri Lanka","sri-lanka","114,093","2010","43","South Asia"
"Mongolia","mongolia","113,200","2017","44","East and Southeast Asia"
"Algeria","algeria","104,000","2015","45","Africa"
"Korea, South","korea-south","100,428","2016","46","East and Southeast Asia"
"Ireland","ireland","99,830","2018","47","Europe"
"Zimbabwe","zimbabwe","97,267","2019","48","Africa"
"Venezuela","venezuela","96,189","2014","49","South America"
"Kazakhstan","kazakhstan","96,167","2021","50","Central Asia"
"Norway","norway","94,902","2018","51","Europe"
"New Zealand","new-zealand","94,000","2017","52","Australia and Oceania"
"Bolivia","bolivia","90,568","2017","53","South America"
"South Sudan","south-sudan","90,200","2019","54","Africa"
"Belarus","belarus","86,600","2017","55","Europe"
"Uzbekistan","uzbekistan","86,496","2000","56","Central Asia"
"Romania","romania","84,185","2012","57","Europe"
"Lithuania","lithuania","84,166","2012","58","Europe"
"Portugal","portugal","82,900","2008","59","Europe"
"Cote d'Ivoire","cote-divoire","81,996","2007","60","Africa"
"Paraguay","paraguay","78,811","2020","61","South America"
"Chile","chile","77,801","2016","62","South America"
"Uruguay","uruguay","77,732","2010","63","South America"
"Cameroon","cameroon","77,589","2016","64","Africa"
"Denmark","denmark","74,558","2017","65","Europe"
"Switzerland","switzerland","71,557","2017","66","Europe"
"Yemen","yemen","71,300","2005","67","Middle East"
"Latvia","latvia","70,244","2018","68","Europe"
"Syria","syria","69,873","2010","69","Middle East"
"Zambia","zambia","67,671","2018","70","Africa"
"Turkey (Turkiye)","turkey-turkiye","67,333","2018","71","Middle East"
"Ghana","ghana","65,725","2021","72","Africa"
"Egypt","egypt","65,050","2018","73","Africa"
"Oman","oman","60,230","2012","74","Middle East"
"Cuba","cuba","60,000","2015","75","Central America and the Caribbean"
"Iraq","iraq","59,623","2012","76","Middle East"
"Turkmenistan","turkmenistan","58,592","2002","77","Central Asia"
"Estonia","estonia","58,412","2011","78","Europe"
"Morocco","morocco","57,300","2018","79","Africa"
"Slovakia","slovakia","56,926","2016","80","Europe"
"Czechia","czechia","55,744","2019","81","Europe"
"Namibia","namibia","48,875","2018","82","Africa"
"Cambodia","cambodia","47,263","2013","83","East and Southeast Asia"
"Guinea","guinea","44,301","2018","84","Africa"
"Serbia","serbia","44,248","2016","85","Europe"
"Ecuador","ecuador","43,950","2022","86","South America"
"Taiwan","taiwan","43,206","2017","87","East and Southeast Asia"
"Chad","chad","40,000","2018","88","Africa"
"Laos","laos","39,586","2009","89","East and Southeast Asia"
"Slovenia","slovenia","38,985","2012","90","Europe"
"Libya","libya","37,000","2010","91","Africa"
"Afghanistan","afghanistan","34,903","2017","92","South Asia"
"Kyrgyzstan","kyrgyzstan","34,000","2022","93","Central Asia"
"Botswana","botswana","31,747","2017","94","Africa"
"Madagascar","madagascar","31,640","2018","95","Africa"
"Mozambique","mozambique","31,083","2015","96","Africa"
"Sudan","sudan","31,000","2019","97","Africa"
"Tajikistan","tajikistan","30,000","2018","98","Central Asia"
"Nepal","nepal","27,990","2016","99","South Asia"
"Croatia","croatia","26,958","2015","100","Europe"
"Puerto Rico","puerto-rico","26,862","2012","101","Central America and the Caribbean"
"Angola","angola","26,000","2018","102","Africa"
"Korea, North","korea-north","25,554","2006","103","East and Southeast Asia"
"Azerbaijan","azerbaijan","24,981","2013","104","Middle East"
"Central African Republic","central-african-republic","24,000","2018","105","Africa"
"Nicaragua","nicaragua","23,897","2014","106","Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","23,324","2017","107","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","22,926","2010","108","Europe"
"Jamaica","jamaica","22,121","2011","109","Central America and the Caribbean"
"Lebanon","lebanon","21,705","2017","110","Middle East"
"Uganda","uganda","20,544","2017","111","Africa"
"Georgia","georgia","20,295","2018","112","Middle East"
"Dominican Republic","dominican-republic","19,705","2002","113","Central America and the Caribbean"
"Israel","israel","19,555","2017","114","Middle East"
"Bulgaria","bulgaria","19,512","2011","115","Europe"
"Niger","niger","18,949","2010","116","Africa"
"Peru","peru","18,699","2018","117","South America"
"Guatemala","guatemala","17,440","2020","118","Central America and the Caribbean"
"Senegal","senegal","16,665","2017","119","Africa"
"Benin","benin","16,000","2006","120","Africa"
"Eritrea","eritrea","16,000","2018","121","Africa"
"Malawi","malawi","15,452","2015","122","Africa"
"Burkina Faso","burkina-faso","15,304","2014","123","Africa"
"Somalia","somalia","15,000","2018","124","Africa"
"Honduras","honduras","14,742","2012","125","Central America and the Caribbean"
"Gabon","gabon","14,300","2001","126","Africa"
"North Macedonia","north-macedonia","14,182","2017","127","Europe"
"Cyprus","cyprus","12,901","2016","128","Europe"
"Iceland","iceland","12,898","2012","129","Europe"
"Burundi","burundi","12,322","2016","130","Africa"
"Mauritania","mauritania","12,253","2018","131","Africa"
"Bhutan","bhutan","12,205","2017","132","South Asia"
"Sierra Leone","sierra-leone","11,701","2015","133","Africa"
"Liberia","liberia","10,600","2018","134","Africa"
"Togo","togo","9,951","2018","135","Africa"
"Moldova","moldova","9,352","2012","136","Europe"
"Papua New Guinea","papua-new-guinea","9,349","2011","137","East and Southeast Asia"
"El Salvador","el-salvador","9,012","2017","138","Central America and the Caribbean"
"Montenegro","montenegro","7,762","2010","139","Europe"
"Armenia","armenia","7,700","2019","140","Middle East"
"Jordan","jordan","7,203","2011","141","Middle East"
"Qatar","qatar","7,039","2016","142","Middle East"
"Timor-Leste","timor-leste","6,040","2008","143","East and Southeast Asia"
"Lesotho","lesotho","5,940","2011","144","Africa"
"Kuwait","kuwait","5,749","2018","145","Middle East"
"New Caledonia","new-caledonia","5,622","2006","146","Australia and Oceania"
