name,slug,value,date_of_information,ranking,region
"Greece","greece","252.29","2020 est.","1","Europe"
"Japan","japan","216.28","2020 est.","2","East and Southeast Asia"
"United Kingdom","united-kingdom","195.39","2020 est.","3","Europe"
"Singapore","singapore","153.41","2020 est.","4","East and Southeast Asia"
"Barbados","barbados","146.93","2016 est.","5","Central America and the Caribbean"
"Lebanon","lebanon","146.80","2017 est.","6","Middle East"
"Spain","spain","141.22","2020 est.","7","Europe"
"Italy","italy","131.80","2017 est.","8","Europe"
"Eritrea","eritrea","131.20","2017 est.","9","Africa"
"Congo, Republic of the","congo-republic-of-the","130.80","2017 est.","10","Africa"
"United States","united-states","126.39","2020 est.","11","North America"
"Cabo Verde","cabo-verde","125.80","2017 est.","12","Africa"
"Portugal","portugal","125.70","2017 est.","13","Europe"
"France","france","123.01","2020 est.","14","Europe"
"Sudan","sudan","121.60","2017 est.","15","Africa"
"Belgium","belgium","119.43","2020 est.","16","Europe"
"Bhutan","bhutan","117.33","2020 est.","17","South Asia"
"Jamaica","jamaica","106.28","2020 est.","18","Central America and the Caribbean"
"Croatia","croatia","104.89","2020 est.","19","Europe"
"Zambia","zambia","103.70","2020 est.","20","Africa"
"Egypt","egypt","103.00","2017 est.","21","Africa"
"Mozambique","mozambique","102.88","2020 est.","22","Africa"
"Brazil","brazil","100.59","2020 est.","23","South America"
"Iceland","iceland","100.02","2020 est.","24","Europe"
"Austria","austria","99.91","2020 est.","25","Europe"
"Belize","belize","99.00","2017 est.","26","Central America and the Caribbean"
"San Marino","san-marino","98.35","2020 est.","27","Europe"
"Cyprus","cyprus","97.50","2017 est.","28","Europe"
"Mauritania","mauritania","96.60","2017 est.","29","Africa"
"Hungary","hungary","96.11","2020 est.","30","Europe"
"Syria","syria","94.80","2017 est.","31","Middle East"
"Colombia","colombia","90.40","2020 est.","32","South America"
"Bahrain","bahrain","88.50","2017 est.","33","Middle East"
"Sao Tome and Principe","sao-tome-and-principe","88.40","2017 est.","34","Africa"
"Gambia, The","gambia-the","88.00","2017 est.","35","Africa"
"Antigua and Barbuda","antigua-and-barbuda","86.80","2017 est.","36","Central America and the Caribbean"
"Palau","palau","86.13","2019 est.","37","Australia and Oceania"
"Aruba","aruba","86.00","2017 est.","38","Central America and the Caribbean"
"Bahamas, The","bahamas-the","84.45","2020 est.","39","Central America and the Caribbean"
"Albania","albania","84.06","2020 est.","40","Europe"
"Dominica","dominica","82.70","2017 est.","41","Central America and the Caribbean"
"Zimbabwe","zimbabwe","82.30","2017 est.","42","Africa"
"Sri Lanka","sri-lanka","79.10","2017 est.","43","South Asia"
"Slovakia","slovakia","77.36","2020 est.","44","Europe"
"Somalia","somalia","76.70","2017 est.","45","Africa"
"Togo","togo","75.70","2017 est.","46","Africa"
"Jordan","jordan","75.14","2020 est.","47","Middle East"
"Yemen","yemen","74.50","2017 est.","48","Middle East"
"Mongolia","mongolia","73.94","2020 est.","49","East and Southeast Asia"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","73.80","2017 est.","50","Central America and the Caribbean"
"Slovenia","slovenia","73.60","2017 est.","51","Europe"
"Israel","israel","72.60","2020 est.","52","Middle East"
"Burkina Faso","burkina-faso","72.53","2020 est.","53","Africa"
"Kyrgyzstan","kyrgyzstan","72.23","2020 est.","54","Central Asia"
"Canada","canada","72.09","2020 est.","55","North America"
"Ghana","ghana","71.80","2017 est.","56","Africa"
"Ireland","ireland","71.58","2020 est.","57","Europe"
"El Salvador","el-salvador","71.41","2020 est.","58","Central America and the Caribbean"
"Saint Lucia","saint-lucia","70.70","2017 est.","59","Central America and the Caribbean"
"Grenada","grenada","70.40","2017 est.","60","Central America and the Caribbean"
"Tunisia","tunisia","70.30","2017 est.","61","Africa"
"Australia","australia","69.41","2020 est.","62","Australia and Oceania"
"Suriname","suriname","69.30","2017 est.","63","South America"
"Montenegro","montenegro","67.20","2017 est.","64","Europe"
"Pakistan","pakistan","67.00","2017 est.","65","South Asia"
"Georgia","georgia","65.88","2020 est.","66","Middle East"
"Morocco","morocco","65.10","2017 est.","67","Africa"
"Angola","angola","65.00","2017 est.","68","Africa"
"Germany","germany","63.90","2017 est.","69","Europe"
"Maldives","maldives","63.90","2017 est.","70","South Asia"
"Sierra Leone","sierra-leone","63.90","2017 est.","71","Africa"
"Laos","laos","63.60","2017 est.","72","East and Southeast Asia"
"Seychelles","seychelles","63.60","2017 est.","73","Africa"
"Armenia","armenia","63.40","2020 est.","74","Middle East"
"Saint Kitts and Nevis","saint-kitts-and-nevis","62.90","2017 est.","75","Central America and the Caribbean"
"Gabon","gabon","62.70","2017 est.","76","Africa"
"South Sudan","south-sudan","62.70","2017 est.","77","Africa"
"Serbia","serbia","62.50","2017 est.","78","Europe"
"Malaysia","malaysia","62.03","2020 est.","79","East and Southeast Asia"
"Nauru","nauru","62.00","2017 est.","80","Australia and Oceania"
"Finland","finland","61.30","2017 est.","81","Europe"
"Uruguay","uruguay","60.40","2020 est.","82","South America"
"Ukraine","ukraine","58.72","2020 est.","83","Europe"
"Vietnam","vietnam","58.50","2017 est.","84","East and Southeast Asia"
"Mauritius","mauritius","57.96","2019 est.","85","Africa"
"Argentina","argentina","57.60","2017 est.","86","South America"
"Romania","romania","57.11","2020 est.","87","Europe"
"Netherlands","netherlands","56.50","2017 est.","88","Europe"
"Benin","benin","54.60","2017 est.","89","Africa"
"Mexico","mexico","54.30","2017 est.","90","North America"
"Kenya","kenya","54.20","2017 est.","91","Africa"
"Azerbaijan","azerbaijan","54.10","2017 est.","92","Middle East"
"Guinea-Bissau","guinea-bissau","53.90","2017 est.","93","Africa"
"Qatar","qatar","53.80","2017 est.","94","Middle East"
"Virgin Islands","virgin-islands","53.30","2016 est.","95","Central America and the Caribbean"
"Lithuania","lithuania","53.28","2020 est.","96","Europe"
"South Africa","south-africa","53.00","2017 est.","97","Africa"
"Central African Republic","central-african-republic","52.90","2017 est.","98","Africa"
"Chad","chad","52.50","2017 est.","99","Africa"
"Guyana","guyana","52.20","2017 est.","100","South America"
"Burundi","burundi","51.70","2017 est.","101","Africa"
"Puerto Rico","puerto-rico","51.60","2017 est.","102","Central America and the Caribbean"
"Malta","malta","50.70","2017 est.","103","Europe"
"Poland","poland","50.60","2017 est.","104","Europe"
"Tajikistan","tajikistan","50.40","2017 est.","105","Central Asia"
"Thailand","thailand","50.40","2020 est.","106","East and Southeast Asia"
"Tonga","tonga","49.41","2016 est.","107","Australia and Oceania"
"Samoa","samoa","49.10","2017 est.","108","Australia and Oceania"
"Bolivia","bolivia","49.00","2017 est.","109","South America"
"Costa Rica","costa-rica","48.90","2017 est.","110","Central America and the Caribbean"
"Fiji","fiji","48.90","2017 est.","111","Australia and Oceania"
"Papua New Guinea","papua-new-guinea","48.68","2020 est.","112","East and Southeast Asia"
"Vanuatu","vanuatu","48.40","2017 est.","113","Australia and Oceania"
"Senegal","senegal","48.30","2017 est.","114","Africa"
"Cuba","cuba","47.70","2017 est.","115","Central America and the Caribbean"
"China","china","47.00","2017 est.","116","East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","47.00","2017 est.","117","Africa"
"Oman","oman","46.90","2017 est.","118","Middle East"
"India","india","46.52","2018 est.","119","South Asia"
"Korea, South","korea-south","46.43","2020 est.","120","East and Southeast Asia"
"New Zealand","new-zealand","46.33","2020 est.","121","Australia and Oceania"
"Bosnia and Herzegovina","bosnia-and-herzegovina","46.05","2020 est.","122","Europe"
"Ecuador","ecuador","45.40","2017 est.","123","South America"
"Niger","niger","45.30","2017 est.","124","Africa"
"Malawi","malawi","44.89","2019 est.","125","Africa"
"Uganda","uganda","44.19","2020 est.","126","Africa"
"Sweden","sweden","44.00","2020 est.","127","Europe"
"Bermuda","bermuda","43.00","FY14/15","128","North America"
"Indonesia","indonesia","42.92","2020 est.","129","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","41.97","2020 est.","130","Middle East"
"Trinidad and Tobago","trinidad-and-tobago","41.80","2017 est.","131","Central America and the Caribbean"
"Marshall Islands","marshall-islands","41.71","2019 est.","132","Australia and Oceania"
"Andorra","andorra","41.00","2014 est.","133","Europe"
"Rwanda","rwanda","40.50","2017 est.","134","Africa"
"Philippines","philippines","39.90","2017 est.","135","East and Southeast Asia"
"Honduras","honduras","39.50","2017 est.","136","Central America and the Caribbean"
"Iran","iran","39.50","2017 est.","137","Middle East"
"North Macedonia","north-macedonia","39.30","2017 est.","138","Europe"
"Nepal","nepal","39.05","2020 est.","139","South Asia"
"Venezuela","venezuela","38.90","2017 est.","140","South America"
"Guinea","guinea","37.90","2017 est.","141","Africa"
"Panama","panama","37.80","2017 est.","142","Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","37.40","2017 est.","143","Africa"
"Dominican Republic","dominican-republic","37.20","2017 est.","144","Central America and the Caribbean"
"Tanzania","tanzania","37.00","2017 est.","145","Africa"
"Tuvalu","tuvalu","37.00","2017 est.","146","Australia and Oceania"
"Cameroon","cameroon","36.90","2017 est.","147","Africa"
"Norway","norway","36.50","2017 est.","148","Europe"
"Latvia","latvia","36.30","2017 est.","149","Europe"
"Madagascar","madagascar","36.00","2017 est.","150","Africa"
"Taiwan","taiwan","35.70","2017 est.","151","East and Southeast Asia"
"Mali","mali","35.40","2017 est.","152","Africa"
"Denmark","denmark","35.30","2017 est.","153","Europe"
"Faroe Islands","faroe-islands","35.00","2014 est.","154","Europe"
"Czechia","czechia","34.70","2017 est.","155","Europe"
"Peru","peru","34.67","2020 est.","156","South America"
"Liberia","liberia","34.40","2017 est.","157","Africa"
"Lesotho","lesotho","33.70","2017 est.","158","Africa"
"Burma","burma","33.60","2017 est.","159","East and Southeast Asia"
"Nicaragua","nicaragua","33.30","2017 est.","160","Central America and the Caribbean"
"Belarus","belarus","33.24","2019 est.","161","Europe"
"Curacao","curacao","33.20","2012 est.","162","Central America and the Caribbean"
"Bangladesh","bangladesh","33.10","2017 est.","163","South Asia"
"Moldova","moldova","33.01","2020 est.","164","Europe"
"Comoros","comoros","32.40","2017 est.","165","Africa"
"Bulgaria","bulgaria","32.24","2020 est.","166","Europe"
"Djibouti","djibouti","31.80","2017 est.","167","Africa"
"Guatemala","guatemala","31.56","2020 est.","168","Central America and the Caribbean"
"Ethiopia","ethiopia","31.45","2019 est.","169","Africa"
"Haiti","haiti","31.10","2017 est.","170","Central America and the Caribbean"
"Cambodia","cambodia","30.40","2017 est.","171","East and Southeast Asia"
"Turkmenistan","turkmenistan","28.80","2017 est.","172","Central Asia"
"Eswatini","eswatini","28.40","2017 est.","173","Africa"
"Algeria","algeria","27.50","2017 est.","174","Africa"
"Iraq","iraq","27.44","2018 est.","175","Middle East"
"Kazakhstan","kazakhstan","26.63","2020 est.","176","Central Asia"
"Kiribati","kiribati","26.30","2017 est.","177","Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","25.40","2020 est.","178","Australia and Oceania"
"West Bank","west-bank","24.40","2014 est.","179","Middle East"
"Uzbekistan","uzbekistan","24.30","2017 est.","180","Central Asia"
"Estonia","estonia","23.77","2020 est.","181","Europe"
"Chile","chile","23.60","2017 est.","182","South America"
"Russia","russia","23.05","2020 est.","183","Central Asia"
"Luxembourg","luxembourg","23.00","2017 est.","184","Europe"
"Guam","guam","22.10","2016 est.","185","Australia and Oceania"
"Nigeria","nigeria","21.80","2017 est.","186","Africa"
"Kosovo","kosovo","21.20","2017 est.","187","Europe"
"Switzerland","switzerland","20.91","2020 est.","188","Europe"
"Kuwait","kuwait","20.60","2017 est.","189","Middle East"
"Anguilla","anguilla","20.10","2015 est.","190","Central America and the Caribbean"
"United Arab Emirates","united-arab-emirates","19.70","2017 est.","191","Middle East"
"Botswana","botswana","19.66","2020 est.","192","Africa"
"Paraguay","paraguay","19.50","2017 est.","193","South America"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","18.10","2017 est.","194","Africa"
"Saudi Arabia","saudi-arabia","17.20","2017 est.","195","Middle East"
"Greenland","greenland","13.00","2015 est.","196","North America"
"American Samoa","american-samoa","12.20","2016 est.","197","Australia and Oceania"
"Solomon Islands","solomon-islands","11.46","2020 est.","198","Australia and Oceania"
"Gibraltar","gibraltar","7.50","2008 est.","199","Europe"
"Northern Mariana Islands","northern-mariana-islands","7.10","2017 est.","200","Australia and Oceania"
"Afghanistan","afghanistan","7.00","2017 est.","201","South Asia"
"New Caledonia","new-caledonia","6.50","2015 est.","202","Australia and Oceania"
"Wallis and Futuna","wallis-and-futuna","5.60","2004 est.","203","Australia and Oceania"
"Libya","libya","4.70","2017 est.","204","Africa"
"Namibia","namibia","4.64","2019 est.","205","Africa"
"Timor-Leste","timor-leste","3.80","2017 est.","206","East and Southeast Asia"
"Brunei","brunei","2.80","2017 est.","207","East and Southeast Asia"
"Hong Kong","hong-kong","0.10","2017 est.","208","East and Southeast Asia"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0.00","2015 est.","209","South America"
"Macau","macau","0.00","2017 est.","210","East and Southeast Asia"
