name,slug,value,date_of_information,ranking,region
"Maldives","maldives","41.75","2021 est.","1","South Asia"
"Libya","libya","31.37","2021 est.","2","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","25.50","2015 est.","3","South America"
"Monaco","monaco","21.55","2021 est.","4","Europe"
"Guyana","guyana","20.06","2021 est.","5","South America"
"Macau","macau","19.27","2021 est.","6","East and Southeast Asia"
"Aruba","aruba","17.17","2021 est.","7","Central America and the Caribbean"
"Panama","panama","15.34","2021 est.","8","Central America and the Caribbean"
"Belize","belize","15.23","2021 est.","9","Central America and the Caribbean"
"Moldova","moldova","13.94","2021 est.","10","Europe"
"Bahamas, The","bahamas-the","13.72","2021 est.","11","Central America and the Caribbean"
"Ireland","ireland","13.59","2021 est.","12","Europe"
"Peru","peru","13.35","2021 est.","13","South America"
"Croatia","croatia","13.07","2021 est.","14","Europe"
"Honduras","honduras","12.53","2021 est.","15","Central America and the Caribbean"
"Montenegro","montenegro","12.43","2021 est.","16","Europe"
"Dominican Republic","dominican-republic","12.27","2021 est.","17","Central America and the Caribbean"
"Saint Lucia","saint-lucia","12.23","2021 est.","18","Central America and the Caribbean"
"Chile","chile","11.67","2021 est.","19","South America"
"Botswana","botswana","11.37","2021 est.","20","Africa"
"Turkey (Turkiye)","turkey-turkiye","11.35","2021 est.","21","Middle East"
"Rwanda","rwanda","10.88","2021 est.","22","Africa"
"Kosovo","kosovo","10.75","2021 est.","23","Europe"
"Colombia","colombia","10.68","2021 est.","24","South America"
"Georgia","georgia","10.47","2021 est.","25","Middle East"
"Argentina","argentina","10.40","2021 est.","26","South America"
"Nicaragua","nicaragua","10.34","2021 est.","27","Central America and the Caribbean"
"Malta","malta","10.30","2021 est.","28","Europe"
"El Salvador","el-salvador","10.28","2021 est.","29","Central America and the Caribbean"
"Tajikistan","tajikistan","9.20","2021 est.","30","Central Asia"
"Andorra","andorra","8.95","2021 est.","31","Europe"
"India","india","8.68","2021 est.","32","South Asia"
"Israel","israel","8.61","2021 est.","33","Middle East"
"Albania","albania","8.52","2021 est.","34","Europe"
"Zimbabwe","zimbabwe","8.47","2021 est.","35","Africa"
"Greece","greece","8.43","2021 est.","36","Europe"
"Slovenia","slovenia","8.21","2021 est.","37","Europe"
