name,slug,value,date_of_information,ranking,region
"Tuvalu","tuvalu","106.70","2013 est.","1","Australia and Oceania"
"Greenland","greenland","77.40","2016 est.","2","North America"
"Andorra","andorra","69.00","2016","3","Europe"
"Cuba","cuba","58.10","2017 est.","4","Central America and the Caribbean"
"Libya","libya","51.60","2017 est.","5","Africa"
"Nauru","nauru","48.24","2020 est.","6","Australia and Oceania"
"Anguilla","anguilla","46.70","2017 est.","7","Central America and the Caribbean"
"Venezuela","venezuela","44.20","2017 est.","8","South America"
"Kuwait","kuwait","41.80","2017 est.","9","Middle East"
"Dominica","dominica","40.90","2017 est.","10","Central America and the Caribbean"
"Bolivia","bolivia","39.90","2017 est.","11","South America"
"Tonga","tonga","39.80","2017 est.","12","Australia and Oceania"
"French Polynesia","french-polynesia","39.40","2012","13","Australia and Oceania"
"British Virgin Islands","british-virgin-islands","38.90","2017 est.","14","Central America and the Caribbean"
"Cayman Islands","cayman-islands","38.90","2017 est.","15","Central America and the Caribbean"
"American Samoa","american-samoa","37.80","2016 est.","16","Australia and Oceania"
"Montenegro","montenegro","37.20","2017 est.","17","Europe"
"Djibouti","djibouti","35.30","2017 est.","18","Africa"
"Japan","japan","35.20","2017 est.","19","East and Southeast Asia"
"Eritrea","eritrea","34.90","2017 est.","20","Africa"
"Denmark","denmark","34.07","2020 est.","21","Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","32.50","FY09/10","22","South America"
"Algeria","algeria","32.30","2017 est.","23","Africa"
"Tajikistan","tajikistan","31.80","2017 est.","24","Central Asia"
"Seychelles","seychelles","31.52","2018 est.","25","Africa"
"Northern Mariana Islands","northern-mariana-islands","31.40","2016 est.","26","Australia and Oceania"
"Oman","oman","31.30","2017 est.","27","Middle East"
"Namibia","namibia","31.17","2020 est.","28","Africa"
"Faroe Islands","faroe-islands","30.20","2014 est.","29","Europe"
"Cook Islands","cook-islands","29.00","2010 est.","30","Australia and Oceania"
"Kosovo","kosovo","29.00","2017 est.","31","Europe"
"Virgin Islands","virgin-islands","28.90","2016 est.","32","Central America and the Caribbean"
"Eswatini","eswatini","28.60","2017 est.","33","Africa"
"Guyana","guyana","28.10","2017 est.","34","South America"
"New Zealand","new-zealand","27.50","2020 est.","35","Australia and Oceania"
"Barbados","barbados","27.48","2016 est.","36","Central America and the Caribbean"
"Mauritania","mauritania","27.40","2017 est.","37","Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","26.80","1996 est.","38","North America"
"Sweden","sweden","26.58","2020 est.","39","Europe"
"Maldives","maldives","26.40","2016 est.","40","South Asia"
"Qatar","qatar","26.40","2017 est.","41","Middle East"
"Kiribati","kiribati","26.28","2020 est.","42","Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","26.20","2017 est.","43","Africa"
"Grenada","grenada","25.80","2017 est.","44","Central America and the Caribbean"
"Jamaica","jamaica","25.71","2020 est.","45","Central America and the Caribbean"
"Comoros","comoros","25.30","2017 est.","46","Africa"
"Aruba","aruba","25.20","2017 est.","47","Central America and the Caribbean"
"Luxembourg","luxembourg","25.13","2020 est.","48","Europe"
"Vietnam","vietnam","24.80","2017 est.","49","East and Southeast Asia"
"Italy","italy","24.77","2020 est.","50","Europe"
"Greece","greece","24.74","2020 est.","51","Europe"
"United Kingdom","united-kingdom","24.73","2020 est.","52","Europe"
"Tunisia","tunisia","24.70","2017 est.","53","Africa"
"France","france","24.69","2020 est.","54","Europe"
"Samoa","samoa","24.42","2020 est.","55","Australia and Oceania"
"Netherlands","netherlands","24.38","2020 est.","56","Europe"
"Austria","austria","24.19","2020 est.","57","Europe"
"Malta","malta","23.73","2020 est.","58","Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","23.70","2017 est.","59","Central America and the Caribbean"
"Serbia","serbia","23.49","2020 est.","60","Europe"
"Gibraltar","gibraltar","23.30","2008 est.","61","Europe"
"South Africa","south-africa","23.30","2020 est.","62","Africa"
"Hong Kong","hong-kong","23.20","2017 est.","63","East and Southeast Asia"
"Hungary","hungary","22.87","2020 est.","64","Europe"
"Timor-Leste","timor-leste","22.86","2019 est.","65","East and Southeast Asia"
"Australia","australia","22.61","2020 est.","66","Australia and Oceania"
"Cyprus","cyprus","22.42","2020 est.","67","Europe"
"Iceland","iceland","22.33","2020 est.","68","Europe"
"Botswana","botswana","22.32","2020 est.","69","Africa"
"Portugal","portugal","22.04","2020 est.","70","Europe"
"Belgium","belgium","21.97","2020 est.","71","Europe"
"Israel","israel","21.90","2020 est.","72","Middle East"
"Armenia","armenia","21.86","2020 est.","73","Middle East"
"Mozambique","mozambique","21.84","2020 est.","74","Africa"
"Latvia","latvia","21.77","2020 est.","75","Europe"
"Macau","macau","21.73","2020 est.","76","East and Southeast Asia"
"Georgia","georgia","21.41","2020 est.","77","Middle East"
"Guam","guam","21.40","2016 est.","78","Australia and Oceania"
"Niger","niger","21.40","2017 est.","79","Africa"
"Belize","belize","21.16","2017 est.","80","Central America and the Caribbean"
"Norway","norway","21.09","2020 est.","81","Europe"
"Solomon Islands","solomon-islands","21.05","2020 est.","82","Australia and Oceania"
"Mauritius","mauritius","20.72","2020 est.","83","Africa"
"Estonia","estonia","20.69","2020 est.","84","Europe"
"Croatia","croatia","20.60","2020 est.","85","Europe"
"Guernsey","guernsey","20.60","2005","86","Europe"
"New Caledonia","new-caledonia","20.40","2015 est.","87","Australia and Oceania"
"Gambia, The","gambia-the","20.30","2017 est.","88","Africa"
"Bulgaria","bulgaria","20.27","2020 est.","89","Europe"
"Cabo Verde","cabo-verde","20.09","2017 est.","90","Africa"
"Morocco","morocco","20.02","2020 est.","91","Africa"
"Lithuania","lithuania","19.88","2020 est.","92","Europe"
"Finland","finland","19.85","2020 est.","93","Europe"
"Antigua and Barbuda","antigua-and-barbuda","19.60","2017 est.","94","Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","19.52","2018 est.","95","Central America and the Caribbean"
"Fiji","fiji","19.26","2020 est.","96","Australia and Oceania"
"Bahamas, The","bahamas-the","19.16","2020 est.","97","Central America and the Caribbean"
"Ukraine","ukraine","19.15","2020 est.","98","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","19.01","2020 est.","99","Europe"
"Gaza Strip","gaza-strip","18.78","2018 est.","100","Middle East"
"West Bank","west-bank","18.78","2018 est.","101","Middle East"
"El Salvador","el-salvador","18.66","2020 est.","102","Central America and the Caribbean"
"Palau","palau","18.59","2020 est.","103","Australia and Oceania"
"Uruguay","uruguay","18.55","2020 est.","104","South America"
"Brunei","brunei","18.50","2017 est.","105","East and Southeast Asia"
"Slovakia","slovakia","18.50","2020 est.","106","Europe"
"Lesotho","lesotho","18.47","2020 est.","107","Africa"
"Laos","laos","18.30","2017 est.","108","East and Southeast Asia"
"Saint Lucia","saint-lucia","18.24","2017 est.","109","Central America and the Caribbean"
"Haiti","haiti","18.20","2017 est.","110","Central America and the Caribbean"
"Egypt","egypt","17.90","2017 est.","111","Africa"
"Cambodia","cambodia","17.89","2020 est.","112","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","17.64","2020 est.","113","Middle East"
"Poland","poland","17.48","2020 est.","114","Europe"
"Moldova","moldova","17.41","2020 est.","115","Europe"
"Iran","iran","17.30","2017 est.","116","Middle East"
"Nicaragua","nicaragua","17.20","2020 est.","117","Central America and the Caribbean"
"Marshall Islands","marshall-islands","17.16","2020 est.","118","Australia and Oceania"
"Benin","benin","17.10","2017 est.","119","Africa"
"Albania","albania","17.02","2020 est.","120","Europe"
"Slovenia","slovenia","16.92","2020 est.","121","Europe"
"Liberia","liberia","16.90","2017 est.","122","Africa"
"Wallis and Futuna","wallis-and-futuna","16.70","2015 est.","123","Australia and Oceania"
"Bahrain","bahrain","16.60","2017 est.","124","Middle East"
"Curacao","curacao","16.60","2012 est.","125","Central America and the Caribbean"
"Guinea","guinea","16.60","2017 est.","126","Africa"
"Jersey","jersey","16.60","2005","127","Europe"
"Ireland","ireland","16.51","2020 est.","128","Europe"
"Zambia","zambia","16.44","2020 est.","129","Africa"
"Suriname","suriname","16.40","2017 est.","130","South America"
"Senegal","senegal","16.38","2018 est.","131","Africa"
"Bermuda","bermuda","16.30","2017 est.","132","North America"
"Chile","chile","16.24","2020 est.","133","South America"
"San Marino","san-marino","16.14","2020 est.","134","Europe"
"North Macedonia","north-macedonia","16.13","2020 est.","135","Europe"
"Taiwan","taiwan","16.00","2017 est.","136","East and Southeast Asia"
"Jordan","jordan","15.81","2020 est.","137","Middle East"
"Burundi","burundi","15.80","2017 est.","138","Africa"
"Nepal","nepal","15.77","2020 est.","139","South Asia"
"Sierra Leone","sierra-leone","15.60","2017 est.","140","Africa"
