name,slug,value,date_of_information,ranking,region
"China","china","$3,554,000,000,000","2021 est.","1","East and Southeast Asia"
"United States","united-states","$2,557,000,000,000","2021 est.","2","North America"
"Germany","germany","$2,004,000,000,000","2021 est.","3","Europe"
"France","france","$920,864,000,000","2021 est.","4","Europe"
"Japan","japan","$919,158,000,000","2021 est.","5","East and Southeast Asia"
"United Kingdom","united-kingdom","$874,500,000,000","2021 est.","6","Europe"
"Netherlands","netherlands","$839,600,000,000","2021 est.","7","Europe"
"Korea, South","korea-south","$771,202,000,000","2021 est.","8","East and Southeast Asia"
"Hong Kong","hong-kong","$751,260,000,000","2021 est.","9","East and Southeast Asia"
"Singapore","singapore","$733,782,000,000","2021 est.","10","East and Southeast Asia"
"Italy","italy","$687,948,000,000","2021 est.","11","Europe"
"Ireland","ireland","$677,028,000,000","2021 est.","12","Europe"
"India","india","$643,080,000,000","2021 est.","13","South Asia"
"Canada","canada","$611,146,000,000","2021 est.","14","North America"
"Switzerland","switzerland","$571,376,000,000","2021 est.","15","Europe"
"Russia","russia","$550,035,000,000","2021 est.","16","Central Asia"
"Mexico","mexico","$522,235,000,000","2021 est.","17","North America"
"Belgium","belgium","$515,625,000,000","2021 est.","18","Europe"
"Spain","spain","$497,868,000,000","2021 est.","19","Europe"
"Poland","poland","$411,621,000,000","2021 est.","20","Europe"
"Australia","australia","$389,794,000,000","2021 est.","21","Australia and Oceania"
"Taiwan","taiwan","$388,490,000,000","2019 est.","22","East and Southeast Asia"
"Vietnam","vietnam","$339,984,000,000","2021 est.","23","East and Southeast Asia"
"Brazil","brazil","$317,175,000,000","2021 est.","24","South America"
"United Arab Emirates","united-arab-emirates","$308,500,000,000","2017 est.","25","Middle East"
"Thailand","thailand","$296,002,000,000","2021 est.","26","East and Southeast Asia"
"Sweden","sweden","$290,793,000,000","2021 est.","27","Europe"
"Saudi Arabia","saudi-arabia","$286,502,000,000","2021 est.","28","Middle East"
"Turkey (Turkiye)","turkey-turkiye","$282,851,000,000","2021 est.","29","Middle East"
"Austria","austria","$268,277,000,000","2021 est.","30","Europe"
"Malaysia","malaysia","$256,659,000,000","2021 est.","31","East and Southeast Asia"
"Indonesia","indonesia","$246,870,000,000","2021 est.","32","East and Southeast Asia"
"Denmark","denmark","$234,262,000,000","2021 est.","33","Europe"
"Czechia","czechia","$204,785,000,000","2021 est.","34","Europe"
"Norway","norway","$199,074,000,000","2021 est.","35","Europe"
"Luxembourg","luxembourg","$177,831,000,000","2021 est.","36","Europe"
"Hungary","hungary","$148,229,000,000","2021 est.","37","Europe"
"Israel","israel","$143,884,000,000","2021 est.","38","Middle East"
"South Africa","south-africa","$130,885,000,000","2021 est.","39","Africa"
"Finland","finland","$116,905,000,000","2021 est.","40","Europe"
"Romania","romania","$115,879,000,000","2021 est.","41","Europe"
"Slovakia","slovakia","$107,430,000,000","2021 est.","42","Europe"
"Portugal","portugal","$105,648,000,000","2021 est.","43","Europe"
"Qatar","qatar","$105,549,000,000","2021 est.","44","Middle East"
"Iran","iran","$101,400,000,000","2017 est.","45","Middle East"
"Chile","chile","$100,634,000,000","2021 est.","46","South America"
"Philippines","philippines","$87,790,000,000","2021 est.","47","East and Southeast Asia"
"Greece","greece","$87,521,000,000","2021 est.","48","Europe"
"Argentina","argentina","$87,415,000,000","2021 est.","49","South America"
"Venezuela","venezuela","$83,401,000,000","2018 est.","50","South America"
"Ukraine","ukraine","$81,504,000,000","2021 est.","51","Europe"
"Iraq","iraq","$78,261,000,000","2021 est.","52","Middle East"
"Kuwait","kuwait","$77,121,000,000","2021 est.","53","Middle East"
"Puerto Rico","puerto-rico","$73,170,000,000","2017 est.","54","Central America and the Caribbean"
"Kazakhstan","kazakhstan","$66,132,000,000","2021 est.","55","Central Asia"
"Peru","peru","$66,098,000,000","2021 est.","56","South America"
"Egypt","egypt","$58,339,000,000","2021 est.","57","Africa"
"New Zealand","new-zealand","$54,777,000,000","2021 est.","58","Australia and Oceania"
"Lithuania","lithuania","$53,397,000,000","2021 est.","59","Europe"
"Slovenia","slovenia","$51,634,000,000","2021 est.","60","Europe"
"Bulgaria","bulgaria","$51,505,000,000","2021 est.","61","Europe"
"Nigeria","nigeria","$50,856,000,000","2021 est.","62","Africa"
"Colombia","colombia","$50,793,000,000","2021 est.","63","South America"
"Belarus","belarus","$49,425,000,000","2021 est.","64","Europe"
"Bangladesh","bangladesh","$49,386,000,000","2021 est.","65","South Asia"
"Morocco","morocco","$47,078,000,000","2021 est.","66","Africa"
"Oman","oman","$46,324,000,000","2021 est.","67","Middle East"
"Algeria","algeria","$41,776,000,000","2021 est.","68","Africa"
"Pakistan","pakistan","$35,566,000,000","2021 est.","69","South Asia"
"Croatia","croatia","$35,308,000,000","2021 est.","70","Europe"
"Serbia","serbia","$33,726,000,000","2021 est.","71","Europe"
"Angola","angola","$33,675,000,000","2021 est.","72","Africa"
"Bahrain","bahrain","$30,097,000,000","2018 est.","73","Middle East"
"Ecuador","ecuador","$29,325,000,000","2021 est.","74","South America"
"Estonia","estonia","$29,056,000,000","2021 est.","75","Europe"
"Panama","panama","$27,237,000,000","2021 est.","76","Central America and the Caribbean"
"Macau","macau","$26,625,000,000","2021 est.","77","East and Southeast Asia"
"Azerbaijan","azerbaijan","$25,488,000,000","2021 est.","78","Middle East"
"Latvia","latvia","$25,248,000,000","2021 est.","79","Europe"
"Cyprus","cyprus","$24,551,000,000","2021 est.","80","Europe"
"Ghana","ghana","$23,901,000,000","2021 est.","81","Africa"
"Costa Rica","costa-rica","$23,761,000,000","2021 est.","82","Central America and the Caribbean"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$22,354,000,000","2021 est.","83","Africa"
"Malta","malta","$22,110,000,000","2021 est.","84","Europe"
"Dominican Republic","dominican-republic","$20,509,000,000","2021 est.","85","Central America and the Caribbean"
"Cambodia","cambodia","$20,126,000,000","2021 est.","86","East and Southeast Asia"
"Tunisia","tunisia","$19,743,000,000","2021 est.","87","Africa"
"Uruguay","uruguay","$18,820,000,000","2021 est.","88","South America"
"Burma","burma","$17,523,000,000","2019 est.","89","East and Southeast Asia"
"Uzbekistan","uzbekistan","$16,399,000,000","2021 est.","90","Central Asia"
