name,slug,value,date_of_information,ranking,region
"United States","united-states","$3,402,000,000,000","2021 est.","1","North America"
"China","china","$3,091,000,000,000","2021 est.","2","East and Southeast Asia"
"Germany","germany","$1,775,000,000,000","2021 est.","3","Europe"
"France","france","$957,717,000,000","2021 est.","4","Europe"
"Japan","japan","$941,671,000,000","2021 est.","5","East and Southeast Asia"
"United Kingdom","united-kingdom","$898,719,000,000","2021 est.","6","Europe"
"Netherlands","netherlands","$735,700,000,000","2021 est.","7","Europe"
"Hong Kong","hong-kong","$733,459,000,000","2021 est.","8","East and Southeast Asia"
"India","india","$717,119,000,000","2021 est.","9","South Asia"
"Korea, South","korea-south","$698,103,000,000","2021 est.","10","East and Southeast Asia"
"Italy","italy","$637,934,000,000","2021 est.","11","Europe"
"Singapore","singapore","$609,280,000,000","2021 est.","12","East and Southeast Asia"
"Canada","canada","$609,256,000,000","2021 est.","13","North America"
"Mexico","mexico","$544,752,000,000","2021 est.","14","North America"
"Belgium","belgium","$509,018,000,000","2021 est.","15","Europe"
"Switzerland","switzerland","$480,522,000,000","2021 est.","16","Europe"
"Ireland","ireland","$477,544,000,000","2021 est.","17","Europe"
"Spain","spain","$476,678,000,000","2021 est.","18","Europe"
"Poland","poland","$380,699,000,000","2021 est.","19","Europe"
"Russia","russia","$379,947,000,000","2021 est.","20","Central Asia"
"Vietnam","vietnam","$338,021,000,000","2021 est.","21","East and Southeast Asia"
"Taiwan","taiwan","$308,744,000,000","2019 est.","22","East and Southeast Asia"
"Australia","australia","$298,712,000,000","2021 est.","23","Australia and Oceania"
"Brazil","brazil","$297,924,000,000","2021 est.","24","South America"
"Thailand","thailand","$295,780,000,000","2021 est.","25","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","$285,578,000,000","2021 est.","26","Middle East"
"Austria","austria","$265,769,000,000","2021 est.","27","Europe"
"Sweden","sweden","$263,269,000,000","2021 est.","28","Europe"
"Malaysia","malaysia","$230,188,000,000","2021 est.","29","East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","$229,200,000,000","2017 est.","30","Middle East"
"Indonesia","indonesia","$217,715,000,000","2021 est.","31","East and Southeast Asia"
"Saudi Arabia","saudi-arabia","$213,016,000,000","2021 est.","32","Middle East"
"Denmark","denmark","$208,121,000,000","2021 est.","33","Europe"
"Czechia","czechia","$196,243,000,000","2021 est.","34","Europe"
"Luxembourg","luxembourg","$148,150,000,000","2021 est.","35","Europe"
"Hungary","hungary","$147,577,000,000","2021 est.","36","Europe"
