name,slug,value,date_of_information,ranking,region
"Djibouti","djibouti","79.9"," est.","1","Africa"
"South Africa","south-africa","64.2"," est.","2","Africa"
"Eswatini","eswatini","50.9"," est.","3","Africa"
"Libya","libya","50.5"," est.","4","Africa"
"Kosovo","kosovo","48.8"," est.","5","Europe"
"Costa Rica","costa-rica","45.4"," est.","6","Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","42.3"," est.","7","Africa"
"Curacao","curacao","42.2"," est.","8","Central America and the Caribbean"
"Botswana","botswana","41.2"," est.","9","Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","41.1"," est.","10","Central America and the Caribbean"
"New Caledonia","new-caledonia","41.0"," est.","11","Australia and Oceania"
"Jordan","jordan","40.5"," est.","12","Middle East"
"Namibia","namibia","40.4"," est.","13","Africa"
"Gaza Strip","gaza-strip","39.6"," est.","14","Middle East"
"West Bank","west-bank","39.6"," est.","15","Middle East"
"French Polynesia","french-polynesia","38.9"," est.","16","Australia and Oceania"
"Saint Lucia","saint-lucia","38.7"," est.","17","Central America and the Caribbean"
"Gabon","gabon","38.4"," est.","18","Africa"
"Tunisia","tunisia","38.3"," est.","19","Africa"
"Lesotho","lesotho","37.4"," est.","20","Africa"
"Spain","spain","36.9"," est.","21","Europe"
"Greece","greece","36.9"," est.","22","Europe"
"Armenia","armenia","36.1"," est.","23","Middle East"
"Haiti","haiti","35.7"," est.","24","Central America and the Caribbean"
"Sudan","sudan","35.6"," est.","25","Africa"
"Somalia","somalia","34.7"," est.","26","Africa"
"Cabo Verde","cabo-verde","34.3"," est.","27","Africa"
"North Macedonia","north-macedonia","34.1"," est.","28","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","32.9"," est.","29","Europe"
"Uruguay","uruguay","32.9"," est.","30","South America"
"Brazil","brazil","31.9"," est.","31","South America"
"Algeria","algeria","31.9"," est.","32","Africa"
"Montenegro","montenegro","31.6"," est.","33","Europe"
"Italy","italy","30.9"," est.","34","Europe"
"Bahamas, The","bahamas-the","30.8"," est.","35","Central America and the Caribbean"
"Barbados","barbados","30.6"," est.","36","Central America and the Caribbean"
"Suriname","suriname","30.5"," est.","37","South America"
"Serbia","serbia","30.4"," est.","38","Europe"
"Panama","panama","30.0"," est.","39","Central America and the Caribbean"
"Argentina","argentina","29.9"," est.","40","South America"
"Guyana","guyana","29.9"," est.","41","South America"
"Lebanon","lebanon","29.6"," est.","42","Middle East"
"Bermuda","bermuda","29.3"," est.","43","North America"
"Saudi Arabia","saudi-arabia","28.8"," est.","44","Middle East"
"Georgia","georgia","28.3"," est.","45","Middle East"
"India","india","28.3"," est.","46","South Asia"
"Albania","albania","27.8"," est.","47","Europe"
"San Marino","san-marino","27.4"," est.","48","Europe"
"Iran","iran","27.2"," est.","49","Middle East"
"Iraq","iraq","27.2"," est.","50","Middle East"
"Morocco","morocco","27.2"," est.","51","Africa"
"Virgin Islands","virgin-islands","27.0"," est.","52","Central America and the Caribbean"
"Monaco","monaco","26.6"," est.","53","Europe"
"Nauru","nauru","26.6","","54","Australia and Oceania"
"Colombia","colombia","26.4"," est.","55","South America"
"Syria","syria","26.2"," est.","56","Middle East"
"Jamaica","jamaica","26.1"," est.","57","Central America and the Caribbean"
"Sri Lanka","sri-lanka","26.1"," est.","58","South Asia"
"Zambia","zambia","26.1"," est.","59","Africa"
"Marshall Islands","marshall-islands","26.0"," est.","60","Australia and Oceania"
"Kuwait","kuwait","25.5"," est.","61","Middle East"
"Yemen","yemen","25.5"," est.","62","Middle East"
"Mauritius","mauritius","25.3"," est.","63","Africa"
"Sweden","sweden","24.5"," est.","64","Europe"
"Turkey (Turkiye)","turkey-turkiye","24.3"," est.","65","Middle East"
"Egypt","egypt","24.3"," est.","66","Africa"
"Croatia","croatia","23.6"," est.","67","Europe"
"Brunei","brunei","23.4"," est.","68","East and Southeast Asia"
"Portugal","portugal","23.1"," est.","69","Europe"
"Mauritania","mauritania","23.0"," est.","70","Africa"
"Sao Tome and Principe","sao-tome-and-principe","22.9"," est.","71","Africa"
"Kiribati","kiribati","22.5"," est.","72","Australia and Oceania"
"Comoros","comoros","21.7"," est.","73","Africa"
"Slovakia","slovakia","21.5"," est.","74","Europe"
"Chile","chile","21.4"," est.","75","South America"
"Mongolia","mongolia","21.0"," est.","76","East and Southeast Asia"
"South Sudan","south-sudan","21.0"," est.","77","Africa"
"Dominican Republic","dominican-republic","20.6"," est.","78","Central America and the Caribbean"
"Tuvalu","tuvalu","20.6","","79","Australia and Oceania"
"Romania","romania","20.6"," est.","80","Europe"
"Afghanistan","afghanistan","20.2"," est.","81","South Asia"
"France","france","20.1"," est.","82","Europe"
"Samoa","samoa","19.7"," est.","83","Australia and Oceania"
"Nigeria","nigeria","19.6"," est.","84","Africa"
"Belgium","belgium","19.6"," est.","85","Europe"
"Kyrgyzstan","kyrgyzstan","19.3"," est.","86","Central Asia"
"Belize","belize","19.3"," est.","87","Central America and the Caribbean"
