name,slug,region,date_of_information,ranking
China,china,East and Southeast Asia,2022 est.,1
India,india,South Asia,2022 est.,2
United States,united-states,North America,2022 est.,3
Indonesia,indonesia,East and Southeast Asia,2022 est.,4
Pakistan,pakistan,South Asia,2022 est.,5
Nigeria,nigeria,Africa,2022 est.,6
Brazil,brazil,South America,2022 est.,7
Bangladesh,bangladesh,South Asia,2022 est.,8
Russia,russia,Central Asia,2022 est.,9
Mexico,mexico,North America,2022 est.,10
Japan,japan,East and Southeast Asia,2022 est.,11
Philippines,philippines,East and Southeast Asia,2022 est.,12
Ethiopia,ethiopia,Africa,2022 est.,13
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,Africa,2022 est.,14
Egypt,egypt,Africa,2022 est.,15
Vietnam,vietnam,East and Southeast Asia,2022 est.,16
Iran,iran,Middle East,2022 est.,17
Germany,germany,Europe,2022 est.,18
Turkey (Turkiye),turkey-turkiye,Middle East,2022 est.,19
Thailand,thailand,East and Southeast Asia,2022 est.,20
France,france,Europe,2022 est.,21
United Kingdom,united-kingdom,Europe,2022 est.,22
Tanzania,tanzania,Africa,2022 est.,23
Italy,italy,Europe,2022 est.,24
Burma,burma,East and Southeast Asia,2022 est.,25
South Africa,south-africa,Africa,2022 est.,26
Kenya,kenya,Africa,2022 est.,27
"Korea, South",korea-south,East and Southeast Asia,2022 est.,28
Colombia,colombia,South America,2022 est.,29
Sudan,sudan,Africa,2022 est.,30
Spain,spain,Europe,2022 est.,31
Argentina,argentina,South America,2022 est.,32
Uganda,uganda,Africa,2022 est.,33
Algeria,algeria,Africa,2022 est.,34
Ukraine,ukraine,Europe,2022 est.,35
Iraq,iraq,Middle East,2022 est.,36
Afghanistan,afghanistan,South Asia,2022 est.,37
Canada,canada,North America,2022 est.,38
Poland,poland,Europe,2022 est.,39
Morocco,morocco,Africa,2022 est.,40
Saudi Arabia,saudi-arabia,Middle East,2022 est.,41
Angola,angola,Africa,2022 est.,42
Malaysia,malaysia,East and Southeast Asia,2022 est.,43
Ghana,ghana,Africa,2022 est.,44
Peru,peru,South America,2022 est.,45
Mozambique,mozambique,Africa,2022 est.,46
Uzbekistan,uzbekistan,Central Asia,2022 est.,47
Yemen,yemen,Middle East,2022 est.,48
Nepal,nepal,South Asia,2022 est.,49
Venezuela,venezuela,South America,2022 est.,50
Cameroon,cameroon,Africa,2022 est.,51
Cote d'Ivoire,cote-divoire,Africa,2022 est.,52
Madagascar,madagascar,Africa,2022 est.,53
Australia,australia,Australia and Oceania,2022 est.,54
"Korea, North",korea-north,East and Southeast Asia,2022 est.,55
Niger,niger,Africa,2022 est.,56
Taiwan,taiwan,East and Southeast Asia,2022 est.,57
Sri Lanka,sri-lanka,South Asia,2022 est.,58
Burkina Faso,burkina-faso,Africa,2022 est.,59
Syria,syria,Middle East,2022 est.,60
Malawi,malawi,Africa,2022 est.,61
Mali,mali,Africa,2022 est.,62
Zambia,zambia,Africa,2022 est.,63
Kazakhstan,kazakhstan,Central Asia,2022 est.,64
Romania,romania,Europe,2022 est.,65
Chile,chile,South America,2022 est.,66
Chad,chad,Africa,2022 est.,67
Senegal,senegal,Africa,2022 est.,68
Guatemala,guatemala,Central America and the Caribbean,2022 est.,69
Netherlands,netherlands,Europe,2022 est.,70
Ecuador,ecuador,South America,2022 est.,71
Cambodia,cambodia,East and Southeast Asia,2022 est.,72
Zimbabwe,zimbabwe,Africa,2022 est.,73
Benin,benin,Africa,2022 est.,74
Guinea,guinea,Africa,2022 est.,75
Rwanda,rwanda,Africa,2022 est.,76
Burundi,burundi,Africa,2022 est.,77
Somalia,somalia,Africa,2022 est.,78
Bolivia,bolivia,South America,2022 est.,79
Tunisia,tunisia,Africa,2022 est.,80
Belgium,belgium,Europe,2022 est.,81
South Sudan,south-sudan,Africa,2022 est.,82
Haiti,haiti,Central America and the Caribbean,2022 est.,83
Cuba,cuba,Central America and the Caribbean,2022 est.,84
Jordan,jordan,Middle East,2022 est.,85
Czechia,czechia,Europe,2022 est.,86
Dominican Republic,dominican-republic,Central America and the Caribbean,2022 est.,87
Greece,greece,Europe,2022 est.,88
Sweden,sweden,Europe,2022 est.,89
Azerbaijan,azerbaijan,Middle East,2022 est.,90
Portugal,portugal,Europe,2022 est.,91
United Arab Emirates,united-arab-emirates,Middle East,2022 est.,92
Hungary,hungary,Europe,2022 est.,93
Papua New Guinea,papua-new-guinea,East and Southeast Asia,2022 est.,94
Honduras,honduras,Central America and the Caribbean,2022 est.,95
Belarus,belarus,Europe,2022 est.,96
Tajikistan,tajikistan,Central Asia,2022 est.,97
Israel,israel,Middle East,2022 est.,98
Austria,austria,Europe,2022 est.,99
Sierra Leone,sierra-leone,Africa,2022 est.,100
Switzerland,switzerland,Europe,2022 est.,101
Togo,togo,Africa,2022 est.,102
Laos,laos,East and Southeast Asia,2022 est.,103
Paraguay,paraguay,South America,2022 est.,104
Hong Kong,hong-kong,East and Southeast Asia,2022 est.,105
Libya,libya,Africa,2022 est.,106
Bulgaria,bulgaria,Europe,2022 est.,107
Serbia,serbia,Europe,2022 est.,108
El Salvador,el-salvador,Central America and the Caribbean,2022 est.,109
Nicaragua,nicaragua,Central America and the Caribbean,2022 est.,110
Eritrea,eritrea,Africa,2022 est.,111
Kyrgyzstan,kyrgyzstan,Central Asia,2022 est.,112
Singapore,singapore,East and Southeast Asia,2022 est.,113
Denmark,denmark,Europe,2022 est.,114
Turkmenistan,turkmenistan,Central Asia,2022 est.,115
Finland,finland,Europe,2022 est.,116
Norway,norway,Europe,2022 est.,117
"Congo, Republic of the",congo-republic-of-the,Africa,2022 est.,118
Central African Republic,central-african-republic,Africa,2022 est.,119
Slovakia,slovakia,Europe,2022 est.,120
Liberia,liberia,Africa,2022 est.,121
Lebanon,lebanon,Middle East,2022 est.,122
Ireland,ireland,Europe,2022 est.,123
Costa Rica,costa-rica,Central America and the Caribbean,2022 est.,124
New Zealand,new-zealand,Australia and Oceania,2022 est.,125
Georgia,georgia,Middle East,2022 est.,126
Panama,panama,Central America and the Caribbean,2022 est.,127
Croatia,croatia,Europe,2022 est.,128
Mauritania,mauritania,Africa,2022 est.,129
Bosnia and Herzegovina,bosnia-and-herzegovina,Europe,2022 est.,130
Oman,oman,Middle East,2022 est.,131
Uruguay,uruguay,South America,2022 est.,132
Moldova,moldova,Europe,2022 est.,133
Mongolia,mongolia,East and Southeast Asia,2022 est.,134
Puerto Rico,puerto-rico,Central America and the Caribbean,2022 est.,135
Albania,albania,Europe,2022 est.,136
Kuwait,kuwait,Middle East,2022 est.,137
Armenia,armenia,Middle East,2022 est.,138
West Bank,west-bank,Middle East,2022 est.,139
Jamaica,jamaica,Central America and the Caribbean,2022 est.,140
Namibia,namibia,Africa,2022 est.,141
Lithuania,lithuania,Europe,2022 est.,142
Qatar,qatar,Middle East,2022 est.,143
"Gambia, The",gambia-the,Africa,2022 est.,144
Botswana,botswana,Africa,2022 est.,145
Gabon,gabon,Africa,2022 est.,146
Lesotho,lesotho,Africa,2022 est.,147
North Macedonia,north-macedonia,Europe,2022 est.,148
Slovenia,slovenia,Europe,2022 est.,149
Guinea-Bissau,guinea-bissau,Africa,2022 est.,150
Gaza Strip,gaza-strip,Middle East,2022 est.,151
Kosovo,kosovo,Europe,2022 est.,152
Latvia,latvia,Europe,2022 est.,153
Equatorial Guinea,equatorial-guinea,Africa,2022 est.,154
Bahrain,bahrain,Middle East,2022 est.,155
